,ReEDS_Tech,BA,Year,Generation (MWh),Emissions (metric tons),Heat Rate (MMBtu/MWh),EmissionsType,EmissionsRate (kg/kWh),Fuel Input (kg or m3 / kWh)
0,Biopower,p10,2010,395657.10719999997,63.61605873,13.5,NOX,0.0001607858359482036,0.8329389367467838
1,Biopower,p10,2010,395657.10719999997,254.3087741,13.5,SO2,0.0006427504257403619,0.8329389367467838
2,Biopower,p101,2010,127812.9957,23.74379246,13.5,NOX,0.00018576978287662498,0.8329389367467838
3,Biopower,p101,2010,127812.9957,94.86997696,13.5,SO2,0.000742256109720461,0.8329389367467838
4,Biopower,p103,2010,303513.083964,45.24654897,13.5,NOX,0.0001490761069640304,0.8329389367467838
5,Biopower,p103,2010,303513.083964,180.8057882,13.5,SO2,0.0005957100294939693,0.8329389367467838
6,Biopower,p122,2010,7760.1888,1.389073795,13.5,NOX,0.00017899999997422744,0.8329389367467838
7,Biopower,p122,2010,7760.1888,5.56405537,13.5,SO2,0.0007170000000515452,0.8329389367467838
8,Biopower,p123,2010,1485.9936,0.242216957,13.5,NOX,0.0001630000001345901,0.8329389367467838
9,Biopower,p123,2010,1485.9936,0.968867827,13.5,SO2,0.0006519999998654099,0.8329389367467838
10,Biopower,p127,2010,69957.36,12.82094208,13.5,NOX,0.00018326795179234893,0.8329389367467838
11,Biopower,p127,2010,69957.36,51.29786333,13.5,SO2,0.0007332732871852225,0.8329389367467838
12,Biopower,p129,2010,59439.744,8.582438592,13.5,NOX,0.00014438888888888891,0.8329389367467838
13,Biopower,p129,2010,59439.744,34.24389696,13.5,SO2,0.0005761111111111111,0.8329389367467838
14,Biopower,p130,2010,117558.6048,18.19079065,13.5,NOX,0.00015473806176032466,0.8329389367467838
15,Biopower,p130,2010,117558.6048,72.88980229,13.5,SO2,0.0006200294943445944,0.8329389367467838
16,Biopower,p132,2010,7154.784,1.316480256,13.5,NOX,0.000184,0.8329389367467838
17,Biopower,p132,2010,7154.784,5.25876624,13.5,SO2,0.000735,0.8329389367467838
18,Biopower,p134,2010,189212.69939999998,28.39473073,13.5,NOX,0.0001500677851964518,0.8329389367467838
19,Biopower,p134,2010,189212.69939999998,113.5588895,13.5,SO2,0.0006001652630087684,0.8329389367467838
20,Biopower,p15,2010,4876.3296,0.658304496,13.5,NOX,0.000135,0.8329389367467838
21,Biopower,p15,2010,4876.3296,2.633217984,13.5,SO2,0.00054,0.8329389367467838
22,Biopower,p28,2010,14129.82,2.50097814,13.5,NOX,0.000177,0.8329389367467838
23,Biopower,p28,2010,14129.82,10.00391256,13.5,SO2,0.000708,0.8329389367467838
24,Biopower,p29,2010,1031.94,0.20948382,13.5,NOX,0.00020299999999999997,0.8329389367467838
25,Biopower,p29,2010,1031.94,0.83793528,13.5,SO2,0.0008119999999999999,0.8329389367467838
26,Biopower,p3,2010,253644.48,37.03209408,13.5,NOX,0.000146,0.8329389367467838
27,Biopower,p3,2010,253644.48,148.6356653,13.5,SO2,0.0005860000000788505,0.8329389367467838
28,Biopower,p33,2010,4127.76,0.70997472,13.5,NOX,0.00017199999999999998,0.8329389367467838
29,Biopower,p33,2010,4127.76,2.83577112,13.5,SO2,0.000687,0.8329389367467838
30,Biopower,p43,2010,59026.968,9.480639168,13.5,NOX,0.00016061538461538462,0.8329389367467838
31,Biopower,p43,2010,59026.968,38.026989,13.5,SO2,0.0006442307692307692,0.8329389367467838
32,Biopower,p46,2010,42134.796,6.676921152,13.5,NOX,0.0001584657287055573,0.8329389367467838
33,Biopower,p46,2010,42134.796,26.72006789,13.5,SO2,0.0006341568116290392,0.8329389367467838
