,ReEDS_Tech,Year,Generation (MWh),Emissions (metric tons),Heat Rate (MMBtu/MWh),EmissionsType,EmissionsRate (kg/kWh),Fuel Input (kg or m3 / kWh)
0,Bioenergy_CCS,2050,36538692.11692943,-30400.19184128531,,CO2,-0.8320000000000007,
1,Bioenergy_CCS,2050,36538692.11692943,15200.095920642669,,NOX,0.00041600000000000073,
2,Coal,2010,1852818295.2055533,2009310.457741423,10.122255723,CO2,1.084461688952887,0.44498110407916297
3,Coal,2010,1852818295.2055533,1943891.3700599244,10.122255723,NOX,0.0010491538080609612,0.44498110407916297
4,Coal,2010,1852818295.2055533,2552668.604118071,10.122255723,SO2,0.0013777220414562432,0.44498110407916297
5,Coal,2012,1205939763.7695873,1282660.3942726364,10.122255723,CO2,1.0636189574371706,0.44498110407916297
6,Coal,2012,1205939763.7695873,1218251.6325710374,10.122255723,NOX,0.0010102093563636753,0.44498110407916297
7,Coal,2012,1205939763.7695873,1545714.0107347867,10.122255723,SO2,0.001281750595820073,0.44498110407916297
8,Coal,2014,1680911328.4300292,1798336.355409616,10.122255723,CO2,1.0698579544283644,0.44498110407916297
9,Coal,2014,1680911328.4300292,1709341.8295614012,10.122255723,NOX,0.00101691374235542,0.44498110407916297
10,Coal,2014,1680911328.4300292,2169927.1716607716,10.122255723,SO2,0.001290923045707285,0.44498110407916297
11,Coal,2016,936817054.388509,984037.2884854204,10.122255723,CO2,1.0504049684788601,0.44498110407916297
12,Coal,2016,936817054.388509,923327.1971389593,10.122255723,NOX,0.0009856003291289835,0.44498110407916297
13,Coal,2016,936817054.388509,1083823.0901135996,10.122255723,SO2,0.0011569207510008944,0.44498110407916297
14,Coal,2018,943150034.8976551,987109.9491837166,10.122255723,CO2,1.0466096725435965,0.44498110407916297
15,Coal,2018,943150034.8976551,911483.8437930985,10.122255723,NOX,0.000966425075615893,0.44498110407916297
16,Coal,2018,943150034.8976551,1040535.9536793306,10.122255723,SO2,0.001103256019910176,0.44498110407916297
17,Coal,2020,649971547.498644,679001.8905356086,10.122255723,CO2,1.0446640212924476,0.44498110407916297
18,Coal,2020,649971547.498644,633700.9134714345,10.122255723,NOX,0.000974967159578253,0.44498110407916297
19,Coal,2020,649971547.498644,719758.1408804912,10.122255723,SO2,0.0011073686896763627,0.44498110407916297
20,Coal,2022,959364952.4075118,1004035.5639529718,10.122255723,CO2,1.0465626886132955,0.44498110407916297
21,Coal,2022,959364952.4075118,921252.6272592477,10.122255723,NOX,0.0009602733818317817,0.44498110407916297
22,Coal,2022,959364952.4075118,1047992.0596187139,10.122255723,SO2,0.001092381014116467,0.44498110407916297
23,Coal,2024,671004651.9625862,696928.5161024834,10.122255723,CO2,1.0386344030016392,0.44498110407916297
24,Coal,2024,671004651.9625862,636366.8915624936,10.122255723,NOX,0.0009483792544525848,0.44498110407916297
25,Coal,2024,671004651.9625862,716480.0180150984,10.122255723,SO2,0.0010677720577934949,0.44498110407916297
26,Coal,2026,543608143.8877046,562969.8264651226,10.122255723,CO2,1.0356169840263056,0.44498110407916297
27,Coal,2026,543608143.8877046,515443.60932393704,10.122255723,NOX,0.0009481896382891834,0.44498110407916297
28,Coal,2026,543608143.8877046,585417.4233158898,10.122255723,SO2,0.0010769106936647033,0.44498110407916297
29,Coal,2028,284754393.368786,294350.5698149022,10.122255723,CO2,1.0336998363136338,0.44498110407916297
30,Coal,2028,284754393.368786,273879.99961393105,10.122255723,NOX,0.0009618113222900429,0.44498110407916297
31,Coal,2028,284754393.368786,319444.05429461587,10.122255723,SO2,0.0011218230929308376,0.44498110407916297
32,Coal,2030,178080531.40281975,183687.73890051298,10.122255723,CO2,1.0314869202911892,0.44498110407916297
33,Coal,2030,178080531.40281975,172329.26811760553,10.122255723,NOX,0.0009677041435135613,0.44498110407916297
34,Coal,2030,178080531.40281975,204093.45770408658,10.122255723,SO2,0.0011460739480972535,0.44498110407916297
35,Coal,2032,124725825.94870675,129034.71195802827,10.122255723,CO2,1.0345468629014616,0.44498110407916297
36,Coal,2032,124725825.94870675,119946.53609610474,10.122255723,NOX,0.000961681633965948,0.44498110407916297
37,Coal,2032,124725825.94870675,144561.91031459245,10.122255723,SO2,0.0011590375065869938,0.44498110407916297
38,Coal,2034,115767036.94403285,119789.54091568709,10.122255723,CO2,1.0347465399291416,0.44498110407916297
39,Coal,2034,115767036.94403285,110963.75413076745,10.122255723,NOX,0.0009585090632008874,0.44498110407916297
40,Coal,2034,115767036.94403285,134055.16096815516,10.122255723,SO2,0.001157973500116131,0.44498110407916297
41,Coal,2036,98164250.70591377,101524.72288859797,10.122255723,CO2,1.0342331567604148,0.44498110407916297
42,Coal,2036,98164250.70591377,94746.05020612608,10.122255723,NOX,0.0009651787644156921,0.44498110407916297
43,Coal,2036,98164250.70591377,110126.32849388638,10.122255723,SO2,0.0011218577812386029,0.44498110407916297
44,Coal,2038,68827276.8858065,70073.56857813586,10.122255723,CO2,1.018107525805461,0.44498110407916297
45,Coal,2038,68827276.8858065,64094.38734208651,10.122255723,NOX,0.0009312352637229499,0.44498110407916297
46,Coal,2038,68827276.8858065,74163.63937844266,10.122255723,SO2,0.0010775326692277815,0.44498110407916297
47,Coal,2040,78394282.89467946,80179.06757031922,10.122255723,CO2,1.0227667708630943,0.44498110407916297
48,Coal,2040,78394282.89467946,74145.92679164303,10.122255723,NOX,0.000945807832584629,0.44498110407916297
49,Coal,2040,78394282.89467946,86550.75211877651,10.122255723,SO2,0.0011040441843833822,0.44498110407916297
50,Coal,2042,91273505.58253983,93692.67082122643,10.122255723,CO2,1.0265045724194182,0.44498110407916297
51,Coal,2042,91273505.58253983,86499.91252740314,10.122255723,NOX,0.0009477001236594351,0.44498110407916297
52,Coal,2042,91273505.58253983,105019.55041691425,10.122255723,SO2,0.0011506027926356317,0.44498110407916297
53,Coal,2044,57578589.509161316,56787.74359315962,10.122255723,CO2,0.9862649307191544,0.44498110407916297
54,Coal,2044,57578589.509161316,51151.01673546878,10.122255723,NOX,0.000888368700440815,0.44498110407916297
55,Coal,2044,57578589.509161316,58129.79653877604,10.122255723,SO2,0.0010095731249117699,0.44498110407916297
56,Coal,2046,50351588.45796128,49350.58276936365,10.122255723,CO2,0.980119680048756,0.44498110407916297
57,Coal,2046,50351588.45796128,44185.13382888314,10.122255723,NOX,0.0008775320736062471,0.44498110407916297
58,Coal,2046,50351588.45796128,50249.29504655675,10.122255723,SO2,0.0009979684173918378,0.44498110407916297
59,Coal,2048,42960391.017961316,41774.6140447086,10.122255723,CO2,0.9723983663752744,0.44498110407916297
60,Coal,2048,42960391.017961316,36647.74317811901,10.122255723,NOX,0.0008530588830720127,0.44498110407916297
61,Coal,2048,42960391.017961316,41443.69627738757,10.122255723,SO2,0.0009646955089412564,0.44498110407916297
62,Coal,2050,4273.950824,3.8333064940456,10.122255723,CO2,0.8969,0.44498110407916297
63,Coal,2050,4273.950824,3.812364135008,10.122255723,NOX,0.0008920000000000001,0.44498110407916297
64,Coal,2050,4273.950824,6.684459088736,10.122255723,SO2,0.0015640000000000003,0.44498110407916297
65,Coal-CCS,2028,15173470.61543768,1615.974620544114,10.453,CO2,0.10650000000000007,0.45952084280685684
66,Coal-CCS,2028,15173470.61543768,6767.36789448521,10.453,NOX,0.00044600000000000027,0.45952084280685684
67,Coal-CCS,2028,15173470.61543768,7617.082248949716,10.453,SO2,0.0005020000000000001,0.45952084280685684
68,Coal-CCS,2030,15173470.61543768,1615.974620544114,10.198,CO2,0.10650000000000007,0.4483108729498064
69,Coal-CCS,2030,15173470.61543768,6767.36789448521,10.198,NOX,0.00044600000000000027,0.4483108729498064
70,Coal-CCS,2030,15173470.61543768,7617.082248949716,10.198,SO2,0.0005020000000000001,0.4483108729498064
71,Coal-CCS,2032,15173470.61543768,1615.974620544114,9.944,CO2,0.10650000000000007,0.437144863758862
72,Coal-CCS,2032,15173470.61543768,6767.36789448521,9.944,NOX,0.00044600000000000027,0.437144863758862
73,Coal-CCS,2032,15173470.61543768,7617.082248949716,9.944,SO2,0.0005020000000000001,0.437144863758862
74,Coal-CCS,2034,15173470.61543768,1615.974620544114,9.747,CO2,0.10650000000000007,0.42848461253596415
75,Coal-CCS,2034,15173470.61543768,6767.36789448521,9.747,NOX,0.00044600000000000027,0.42848461253596415
76,Coal-CCS,2034,15173470.61543768,7617.082248949716,9.747,SO2,0.0005020000000000001,0.42848461253596415
77,Coal-CCS,2036,24632094.30788855,2541.973880035054,9.607,CO2,0.10319763509597212,0.42233011928111297
78,Coal-CCS,2036,24632094.30788855,10645.403608390065,9.607,NOX,0.00043217614691337154,0.42233011928111297
79,Coal-CCS,2036,24632094.30788855,11977.507771169563,9.607,SO2,0.00048625616731800625,0.42233011928111297
80,Coal-CCS,2038,131656312.36546746,12869.810922591414,9.467,CO2,0.09775308674046591,0.4161756260262618
81,Coal-CCS,2038,131656312.36546746,53883.18770365194,9.467,NOX,0.00040927158550572567,0.4161756260262618
82,Coal-CCS,2038,131656312.36546746,60673.52698736796,9.467,SO2,0.0004608478385673075,0.4161756260262618
83,Coal-CCS,2040,116633336.38487443,11269.86398065826,9.467,CO2,0.09662643914660225,0.4161756260262618
84,Coal-CCS,2040,116633336.38487443,47182.94041630745,9.467,NOX,0.0004045407760660301,0.4161756260262618
85,Coal-CCS,2040,116633336.38487443,53131.993045110255,9.467,SO2,0.00045554722767924405,0.4161756260262618
86,Coal-CCS,2042,116597632.79002976,11266.061547807303,9.467,CO2,0.0966234157437428,0.4161756260262618
