,ReEDS_Tech,Year,Generation (MWh),Emissions (metric tons),Heat Rate (MMBtu/MWh),EmissionsType,EmissionsRate (kg/kWh),Fuel Input (kg or m3 / kWh)
0,Biopower,2010,3458931.3884690157,542.1282785264298,13.5,NOX,0.0001567328800836334,0.8329389367467838
1,Biopower,2010,3458931.3884690157,2168.931340126675,13.5,SO2,0.0006270524322503784,0.8329389367467838
2,Biopower,2012,2028525.1570962965,292.1313807375414,13.5,NOX,0.00014401171201431325,0.8329389367467838
3,Biopower,2012,2028525.1570962965,1168.440148247787,13.5,SO2,0.0005760047609763608,0.8329389367467838
4,Biopower,2014,5249497.40617779,724.9102794047905,13.5,NOX,0.0001380913682425466,0.8329389367467838
5,Biopower,2014,5249497.40617779,2899.7209512921117,13.5,SO2,0.0005523806808399638,0.8329389367467838
6,Biopower,2016,3225669.65072029,437.964216820698,13.5,NOX,0.00013577466518398774,0.8329389367467838
7,Biopower,2016,3225669.65072029,1751.8841531649196,13.5,SO2,0.0005431071197181414,0.8329389367467838
8,Biopower,2018,3725979.914123178,504.95200840662915,13.5,NOX,0.0001355219351807638,0.8329389367467838
9,Biopower,2018,3725979.914123178,2019.8080336265168,13.5,SO2,0.0005420877407230552,0.8329389367467838
10,Biopower,2020,5042266.023378961,740.9352582651081,13.5,NOX,0.0001469448963679602,0.8329389367467838
11,Biopower,2020,5042266.023378961,2963.602815698259,13.5,SO2,0.0005877521737165837,0.8329389367467838
12,Biopower,2022,5465490.4646091955,746.6538037887414,13.5,NOX,0.00013661240626501215,0.8329389367467838
13,Biopower,2022,5465490.4646091955,2987.0152104979657,13.5,SO2,0.0005465228106864055,0.8329389367467838
14,Biopower,2024,2096163.3265608666,282.982049085717,13.5,NOX,0.000135,0.8329389367467838
15,Biopower,2024,2096163.3265608666,1131.928196342868,13.5,SO2,0.00054,0.8329389367467838
16,Biopower,2026,1591347.1061905092,214.8318593357188,13.5,NOX,0.00013500000000000003,0.8329389367467838
17,Biopower,2026,1591347.1061905092,859.327437342875,13.5,SO2,0.00054,0.8329389367467838
18,Biopower,2028,1381907.5199999965,186.55751519999953,13.5,NOX,0.000135,0.8329389367467838
19,Biopower,2028,1381907.5199999965,746.230060799998,13.5,SO2,0.0005399999999999999,0.8329389367467838
20,Biopower,2030,1257760.8000000007,169.7977080000001,13.5,NOX,0.000135,0.8329389367467838
21,Biopower,2030,1257760.8000000007,679.1908320000003,13.5,SO2,0.0005399999999999999,0.8329389367467838
22,Biopower,2032,1103339.52,148.95083520000003,13.5,NOX,0.00013500000000000003,0.8329389367467838
23,Biopower,2032,1103339.52,595.8033407999999,13.5,SO2,0.0005399999999999999,0.8329389367467838
24,Biopower,2034,903979.4400000001,122.0372244,13.5,NOX,0.000135,0.8329389367467838
25,Biopower,2034,903979.4400000001,488.1488976,13.5,SO2,0.00054,0.8329389367467838
26,Biopower,2036,795705.8400000001,107.4202884,13.5,NOX,0.000135,0.8329389367467838
27,Biopower,2036,795705.8400000001,429.6811536,13.5,SO2,0.00054,0.8329389367467838
28,Biopower,2038,722069.2800000021,97.47935280000036,13.5,NOX,0.00013500000000000008,0.8329389367467838
29,Biopower,2038,722069.2800000021,389.91741120000137,13.5,SO2,0.0005400000000000003,0.8329389367467838
30,Biopower,2040,703673.28,94.9958928,13.5,NOX,0.00013499999999999997,0.8329389367467838
31,Biopower,2040,703673.28,379.9835711999999,13.5,SO2,0.0005399999999999999,0.8329389367467838
32,Biopower,2042,660101.0400000009,89.1136404000001,13.5,NOX,0.00013499999999999997,0.8329389367467838
33,Biopower,2042,660101.0400000009,356.4545616,13.5,SO2,0.0005399999999999992,0.8329389367467838
34,Biopower,2044,615425.0399999995,83.08238040000002,13.5,NOX,0.00013500000000000016,0.8329389367467838
35,Biopower,2044,615425.0399999995,332.3295215999999,13.5,SO2,0.0005400000000000003,0.8329389367467838
36,Biopower,2046,809450.8332613684,109.2758624902849,13.5,NOX,0.0001350000000000002,0.8329389367467838
37,Biopower,2046,809450.8332613684,437.1034499611394,13.5,SO2,0.0005400000000000005,0.8329389367467838
38,Biopower,2048,3552707.6117771077,479.6155275899096,13.5,NOX,0.00013500000000000003,0.8329389367467838
39,Biopower,2048,3552707.6117771077,1918.462110359638,13.5,SO2,0.00054,0.8329389367467838
40,Biopower,2050,1957865.0770420812,264.31178540068095,13.5,NOX,0.000135,0.8329389367467838
41,Biopower,2050,1957865.0770420812,1057.247141602724,13.5,SO2,0.0005400000000000001,0.8329389367467838
42,Coal,2010,1852818295.2055533,1943891.3700599244,10.122255723,NOX,0.0010491538080609612,0.44498110407916297
43,Coal,2010,1852818295.2055533,2552668.604118071,10.122255723,SO2,0.0013777220414562432,0.44498110407916297
44,Coal,2010,1852818295.2055533,2009310.457741423,10.122255723,CO2,1.084461688952887,0.44498110407916297
45,Coal,2012,1205939763.7695873,1218251.6325710374,10.122255723,NOX,0.0010102093563636753,0.44498110407916297
