,ReEDS_Tech,Year,Generation (MWh),Emissions (metric tons),Heat Rate (MMBtu/MWh),EmissionsType,EmissionsRate (kg/kWh),Fuel Input (kg or m3 / kWh)
0,Bioenergy_CCS,2034,32346041.689021654,-28344.83633208968,,CO2,-0.8763000000000001,
1,Bioenergy_CCS,2034,32346041.689021654,14167.56625979148,,NOX,0.00043799999999999986,
2,Bioenergy_CCS,2036,102987285.53466491,-89859.2314728759,,CO2,-0.8725274290546264,
3,Bioenergy_CCS,2036,102987285.53466491,44896.50733264631,,NOX,0.00043594223402979596,
4,Bioenergy_CCS,2038,103056224.06171069,-89918.8770864759,,CO2,-0.8725225274373718,
5,Bioenergy_CCS,2038,103056224.06171069,44926.288776330075,,NOX,0.0004359395969080717,
6,Bioenergy_CCS,2040,103073566.65947604,-89933.78651777477,,CO2,-0.8725203699886399,
7,Bioenergy_CCS,2040,103073566.65947604,44933.746093369184,,NOX,0.0004359385975437982,
8,Bioenergy_CCS,2042,103114903.64050205,-89969.09243326905,,CO2,-0.8725129855809756,
9,Bioenergy_CCS,2042,103114903.64050205,44951.39698426728,,NOX,0.0004359350142146767,
10,Bioenergy_CCS,2044,103157557.53017674,-90005.28852404699,,CO2,-0.8725030979695083,
11,Bioenergy_CCS,2044,103157557.53017674,44969.48223348935,,NOX,0.00043593007928996767,
12,Bioenergy_CCS,2046,103160082.65473188,-90007.41720404697,,CO2,-0.8725023758006691,
13,Bioenergy_CCS,2046,103160082.65473188,44970.54531092707,,NOX,0.0004359297138355317,
14,Bioenergy_CCS,2048,103176867.94505447,-90021.47488469214,,CO2,-0.8724966814522024,
15,Bioenergy_CCS,2048,103176867.94505447,44977.57834757223,,NOX,0.0004359269596313436,
16,Bioenergy_CCS,2050,103179069.32167783,-90023.30643004278,,CO2,-0.8724958174354163,
17,Bioenergy_CCS,2050,103179069.32167783,44978.49412024755,,NOX,0.00043592653447977565,
18,Coal,2010,1852818295.2055533,2009310.457741423,10.122255723,CO2,1.084461688952887,0.44498110407916297
19,Coal,2010,1852818295.2055533,1943891.3700599244,10.122255723,NOX,0.0010491538080609612,0.44498110407916297
20,Coal,2010,1852818295.2055533,2552668.604118071,10.122255723,SO2,0.0013777220414562432,0.44498110407916297
21,Coal,2012,1205939763.7695873,1282660.3942726364,10.122255723,CO2,1.0636189574371706,0.44498110407916297
22,Coal,2012,1205939763.7695873,1218251.6325710374,10.122255723,NOX,0.0010102093563636753,0.44498110407916297
23,Coal,2012,1205939763.7695873,1545714.0107347867,10.122255723,SO2,0.001281750595820073,0.44498110407916297
24,Coal,2014,1680911328.4300292,1798336.355409616,10.122255723,CO2,1.0698579544283644,0.44498110407916297
25,Coal,2014,1680911328.4300292,1709341.8295614012,10.122255723,NOX,0.00101691374235542,0.44498110407916297
26,Coal,2014,1680911328.4300292,2169927.1716607716,10.122255723,SO2,0.001290923045707285,0.44498110407916297
27,Coal,2016,936817054.388509,984037.2884854204,10.122255723,CO2,1.0504049684788601,0.44498110407916297
28,Coal,2016,936817054.388509,923327.1971389593,10.122255723,NOX,0.0009856003291289835,0.44498110407916297
29,Coal,2016,936817054.388509,1083823.0901135996,10.122255723,SO2,0.0011569207510008944,0.44498110407916297
30,Coal,2018,943150034.8976551,987109.9491837166,10.122255723,CO2,1.0466096725435965,0.44498110407916297
31,Coal,2018,943150034.8976551,911483.8437930985,10.122255723,NOX,0.000966425075615893,0.44498110407916297
32,Coal,2018,943150034.8976551,1040535.9536793306,10.122255723,SO2,0.001103256019910176,0.44498110407916297
33,Coal,2020,649971547.498644,679001.8905356086,10.122255723,CO2,1.0446640212924476,0.44498110407916297
34,Coal,2020,649971547.498644,633700.9134714345,10.122255723,NOX,0.000974967159578253,0.44498110407916297
35,Coal,2020,649971547.498644,719758.1408804912,10.122255723,SO2,0.0011073686896763627,0.44498110407916297
36,Coal,2022,959364952.4075118,1004035.5639529718,10.122255723,CO2,1.0465626886132955,0.44498110407916297
37,Coal,2022,959364952.4075118,921252.6272592477,10.122255723,NOX,0.0009602733818317817,0.44498110407916297
38,Coal,2022,959364952.4075118,1047992.0596187139,10.122255723,SO2,0.001092381014116467,0.44498110407916297
39,Coal,2024,646727432.6920758,670472.1679921718,10.122255723,CO2,1.036715212777129,0.44498110407916297
40,Coal,2024,646727432.6920758,611714.5813904888,10.122255723,NOX,0.000945861502803674,0.44498110407916297
41,Coal,2024,646727432.6920758,690404.6703830952,10.122255723,SO2,0.0010675357739337078,0.44498110407916297
42,Coal,2026,447551361.7170453,461764.16604102514,10.122255723,CO2,1.0317568117086091,0.44498110407916297
43,Coal,2026,447551361.7170453,422332.6380906572,10.122255723,NOX,0.0009436517776872901,0.44498110407916297
44,Coal,2026,447551361.7170453,484959.20671640587,10.122255723,SO2,0.001083583356457333,0.44498110407916297
45,Coal,2028,268976838.8814821,278045.54119549243,10.122255723,CO2,1.0337155509437979,0.44498110407916297
46,Coal,2028,268976838.8814821,259257.20041993813,10.122255723,NOX,0.0009638644037086527,0.44498110407916297
47,Coal,2028,268976838.8814821,303218.0208412136,10.122255723,SO2,0.001127301600026681,0.44498110407916297
48,Coal,2030,168279675.18871114,173434.9943544187,10.122255723,CO2,1.0306354237962863,0.44498110407916297
49,Coal,2030,168279675.18871114,161974.93868399254,10.122255723,NOX,0.0009625341771212217,0.44498110407916297
50,Coal,2030,168279675.18871114,192994.24970160692,10.122255723,SO2,0.0011468660697447897,0.44498110407916297
51,Coal,2032,78078699.32088424,79154.08603887426,10.122255723,CO2,1.0137731126074532,0.44498110407916297
52,Coal,2032,78078699.32088424,72792.98841764005,10.122255723,NOX,0.0009323027797694065,0.44498110407916297
53,Coal,2032,78078699.32088424,83742.43599151542,10.122255723,SO2,0.0010725388194205774,0.44498110407916297
54,Coal,2034,25666519.054888237,24539.17881225841,10.122255723,CO2,0.9560774002809266,0.44498110407916297
55,Coal,2034,25666519.054888237,21140.548065876934,10.122255723,NOX,0.0008236624538242819,0.44498110407916297
56,Coal,2034,25666519.054888237,25241.689180438774,10.122255723,SO2,0.0009834480915179437,0.44498110407916297
57,Coal-CCS,2028,10749160.34292674,1144.785576521698,10.453,CO2,0.10650000000000001,0.45952084280685684
58,Coal-CCS,2028,10749160.34292674,4794.125512945323,10.453,NOX,0.0004459999999999997,0.45952084280685684
59,Coal-CCS,2028,10749160.34292674,5396.078492149228,10.453,SO2,0.0005020000000000004,0.45952084280685684
60,Coal-CCS,2030,10749160.34292674,1144.785576521698,10.198,CO2,0.10650000000000001,0.4483108729498064
61,Coal-CCS,2030,10749160.34292674,4794.125512945323,10.198,NOX,0.0004459999999999997,0.4483108729498064
62,Coal-CCS,2030,10749160.34292674,5396.078492149228,10.198,SO2,0.0005020000000000004,0.4483108729498064
63,Coal-CCS,2032,10749160.34292674,1144.785576521698,9.944,CO2,0.10650000000000001,0.437144863758862
64,Coal-CCS,2032,10749160.34292674,4794.125512945323,9.944,NOX,0.0004459999999999997,0.437144863758862
