,ReEDS_Tech,BA,Year,Generation (MWh),Emissions (metric tons),Heat Rate (MMBtu/MWh),EmissionsType,EmissionsRate (kg/kWh),Fuel Input (kg or m3 / kWh)
0,Biopower,p10,2010,395657.10719999997,63.6160587264,13.5,NOX,0.00016078583593910482,0.8329389367467838
1,Biopower,p10,2010,395657.10719999997,254.3087741184,13.5,SO2,0.0006427504257868669,0.8329389367467838
2,Biopower,p101,2010,127812.9957,23.7437924568,13.5,NOX,0.0001857697828515884,0.8329389367467838
3,Biopower,p101,2010,127812.9957,94.8699769563,13.5,SO2,0.0007422561096915123,0.8329389367467838
4,Biopower,p103,2010,303513.083964,45.24654896514,13.5,NOX,0.0001490761069480179,0.8329389367467838
5,Biopower,p103,2010,303513.083964,180.80578823256,13.5,SO2,0.0005957100296012463,0.8329389367467838
6,Biopower,p122,2010,7760.1888,1.3890737952,13.5,NOX,0.00017900000000000001,0.8329389367467838
7,Biopower,p122,2010,7760.1888,5.5640553696,13.5,SO2,0.000717,0.8329389367467838
8,Biopower,p123,2010,1485.9936,0.2422169568,13.5,NOX,0.000163,0.8329389367467838
9,Biopower,p123,2010,1485.9936,0.9688678272,13.5,SO2,0.000652,0.8329389367467838
10,Biopower,p127,2010,69957.36,12.82094208,13.5,NOX,0.00018326795179234893,0.8329389367467838
11,Biopower,p127,2010,69957.36,51.297863328,13.5,SO2,0.0007332732871566336,0.8329389367467838
12,Biopower,p129,2010,59439.744,8.582438592,13.5,NOX,0.00014438888888888891,0.8329389367467838
13,Biopower,p129,2010,59439.744,34.24389696,13.5,SO2,0.0005761111111111111,0.8329389367467838
14,Biopower,p130,2010,117558.6048,18.1907906544,13.5,NOX,0.0001547380617977528,0.8329389367467838
15,Biopower,p130,2010,117558.6048,72.8898022944,13.5,SO2,0.0006200294943820224,0.8329389367467838
16,Biopower,p132,2010,7154.784,1.316480256,13.5,NOX,0.000184,0.8329389367467838
17,Biopower,p132,2010,7154.784,5.25876624,13.5,SO2,0.000735,0.8329389367467838
18,Biopower,p134,2010,189212.69939999998,28.3947307326,13.5,NOX,0.00015006778521019294,0.8329389367467838
19,Biopower,p134,2010,189212.69939999998,113.5588895352,13.5,SO2,0.0006001652631948023,0.8329389367467838
20,Biopower,p15,2010,4876.3296,0.658304496,13.5,NOX,0.000135,0.8329389367467838
21,Biopower,p15,2010,4876.3296,2.633217984,13.5,SO2,0.00054,0.8329389367467838
22,Biopower,p28,2010,14129.82,2.50097814,13.5,NOX,0.000177,0.8329389367467838
23,Biopower,p28,2010,14129.82,10.00391256,13.5,SO2,0.000708,0.8329389367467838
24,Biopower,p29,2010,1031.94,0.20948382,13.5,NOX,0.00020299999999999997,0.8329389367467838
25,Biopower,p29,2010,1031.94,0.83793528,13.5,SO2,0.0008119999999999999,0.8329389367467838
26,Biopower,p3,2010,253644.48,37.03209408,13.5,NOX,0.000146,0.8329389367467838
27,Biopower,p3,2010,253644.48,148.63566528,13.5,SO2,0.000586,0.8329389367467838
28,Biopower,p33,2010,4127.76,0.70997472,13.5,NOX,0.00017199999999999998,0.8329389367467838
