,ReEDS_Tech,BA,Year,Generation (MWh),Emissions (metric tons),Heat Rate (MMBtu/MWh),EmissionsType,EmissionsRate (kg/kWh),Fuel Input (kg or m3 / kWh)
0,Bioenergy_CCS,p104,2034,2121793.57260274,-1859.32770767178,,CO2,-0.8762999999999994,
1,Bioenergy_CCS,p104,2034,2121793.57260274,929.3455848,,NOX,0.0004379999999999999,
2,Bioenergy_CCS,p109,2034,4505430.95002192,-3948.10914150421,,CO2,-0.8763000000000004,
3,Bioenergy_CCS,p109,2034,4505430.95002192,1973.3787561096,,NOX,0.0004379999999999998,
4,Bioenergy_CCS,p114,2034,505495.47260274,-442.965682641781,,CO2,-0.8762999999999999,
5,Bioenergy_CCS,p114,2034,505495.47260274,221.407017,,NOX,0.00043799999999999975,
6,Bioenergy_CCS,p122,2034,756443.145205479,-662.871128143561,,CO2,-0.8762999999999996,
7,Bioenergy_CCS,p122,2034,756443.145205479,331.3220976,,NOX,0.0004380000000000003,
8,Bioenergy_CCS,p23,2034,3772065.2630137,-3305.4607899789,,CO2,-0.8762999999999986,
9,Bioenergy_CCS,p23,2034,3772065.2630137,1652.1645852,,NOX,0.0004379999999999998,
10,Bioenergy_CCS,p32,2034,309324.279452055,-271.060866083836,,CO2,-0.8763000000000006,
11,Bioenergy_CCS,p32,2034,309324.279452055,135.4840344,,NOX,0.00043799999999999975,
12,Bioenergy_CCS,p58,2034,5933864.86986302,-5199.84578546096,,CO2,-0.8762999999999991,
13,Bioenergy_CCS,p58,2034,5933864.86986302,2599.032813,,NOX,0.0004379999999999995,
14,Bioenergy_CCS,p6,2034,3524857.93561644,-3088.83300898069,,CO2,-0.876300000000001,
15,Bioenergy_CCS,p6,2034,3524857.93561644,1543.8877758,,NOX,0.0004379999999999998,
16,Bioenergy_CCS,p66,2034,1682240.71917808,-1474.14754221575,,CO2,-0.8762999999999991,
17,Bioenergy_CCS,p66,2034,1682240.71917808,736.821435,,NOX,0.0004380000000000005,
18,Bioenergy_CCS,p90,2034,9234525.48146548,-8092.21467940821,,CO2,-0.8763000000000011,
19,Bioenergy_CCS,p90,2034,9234525.48146548,4044.72216088188,,NOX,0.000438,
