,ReEDS_Tech,Year,Generation (MWh),Emissions (metric tons),Heat Rate (MMBtu/MWh),EmissionsType,EmissionsRate (kg/kWh),Fuel Input (kg or m3 / kWh)
0,Biopower,2010,3458931.388469016,542.1282785264298,13.5,NOX,0.00015673288008363336,0.8329389367467838
1,Biopower,2010,3458931.388469016,2168.9313401266754,13.5,SO2,0.0006270524322503785,0.8329389367467838
2,Biopower,2012,2028525.1570962965,292.1313807375414,13.5,NOX,0.00014401171201431325,0.8329389367467838
3,Biopower,2012,2028525.1570962965,1168.440148247787,13.5,SO2,0.0005760047609763608,0.8329389367467838
4,Biopower,2014,5249497.40617779,724.9102794047905,13.5,NOX,0.0001380913682425466,0.8329389367467838
5,Biopower,2014,5249497.40617779,2899.7209512921117,13.5,SO2,0.0005523806808399638,0.8329389367467838
6,Biopower,2016,3225669.650720296,437.9642168206988,13.5,NOX,0.00013577466518398772,0.8329389367467838
7,Biopower,2016,3225669.650720296,1751.8841531649225,13.5,SO2,0.0005431071197181412,0.8329389367467838
8,Biopower,2018,3725979.9141231785,504.9520084066291,13.5,NOX,0.00013552193518076377,0.8329389367467838
9,Biopower,2018,3725979.9141231785,2019.808033626517,13.5,SO2,0.0005420877407230552,0.8329389367467838
10,Biopower,2020,5042266.023378961,740.9352582651081,13.5,NOX,0.0001469448963679602,0.8329389367467838
11,Biopower,2020,5042266.023378961,2963.602815698259,13.5,SO2,0.0005877521737165837,0.8329389367467838
12,Biopower,2022,5465490.4646091955,746.6538037887414,13.5,NOX,0.00013661240626501215,0.8329389367467838
13,Biopower,2022,5465490.4646091955,2987.0152104979657,13.5,SO2,0.0005465228106864055,0.8329389367467838
14,Biopower,2024,2095885.1496339084,282.9444952005776,13.5,NOX,0.00013499999999999997,0.8329389367467838
15,Biopower,2024,2095885.1496339084,1131.7779808023106,13.5,SO2,0.00054,0.8329389367467838
16,Biopower,2026,1591351.341376074,214.83243108577,13.5,NOX,0.000135,0.8329389367467838
17,Biopower,2026,1591351.341376074,859.32972434308,13.5,SO2,0.00054,0.8329389367467838
18,Biopower,2028,1381907.5200000003,186.55751520000004,13.5,NOX,0.000135,0.8329389367467838
19,Biopower,2028,1381907.5200000003,746.2300607999997,13.5,SO2,0.0005399999999999997,0.8329389367467838
20,Biopower,2030,1257760.8000000038,169.79770800000054,13.5,NOX,0.00013500000000000003,0.8329389367467838
21,Biopower,2030,1257760.8000000038,679.1908320000025,13.5,SO2,0.0005400000000000003,0.8329389367467838
22,Biopower,2032,1103339.5200000003,148.95083520000009,13.5,NOX,0.00013500000000000006,0.8329389367467838
23,Biopower,2032,1103339.5200000003,595.8033408000002,13.5,SO2,0.0005400000000000001,0.8329389367467838
24,Biopower,2034,903979.4400000012,122.0372244000001,13.5,NOX,0.00013499999999999992,0.8329389367467838
25,Biopower,2034,903979.4400000012,488.1488976000001,13.5,SO2,0.0005399999999999994,0.8329389367467838
26,Biopower,2036,795705.8400000001,107.4202884,13.5,NOX,0.000135,0.8329389367467838
27,Biopower,2036,795705.8400000001,429.6811536,13.5,SO2,0.00054,0.8329389367467838
28,Biopower,2038,722069.28,97.4793528,13.5,NOX,0.000135,0.8329389367467838
29,Biopower,2038,722069.28,389.9174112,13.5,SO2,0.00054,0.8329389367467838
30,Biopower,2040,703673.2800000004,94.99589280000001,13.5,NOX,0.00013499999999999995,0.8329389367467838
31,Biopower,2040,703673.2800000004,379.98357120000003,13.5,SO2,0.0005399999999999998,0.8329389367467838
32,Biopower,2042,660101.0399999999,89.1136404,13.5,NOX,0.000135,0.8329389367467838
33,Biopower,2042,660101.0399999999,356.4545616,13.5,SO2,0.00054,0.8329389367467838
34,Biopower,2044,615425.0400000014,83.08238040000019,13.5,NOX,0.000135,0.8329389367467838
35,Biopower,2044,615425.0400000014,332.32952160000093,13.5,SO2,0.0005400000000000002,0.8329389367467838
36,Biopower,2046,828168.3863664701,111.80273215947349,13.5,NOX,0.00013500000000000003,0.8329389367467838
37,Biopower,2046,828168.3863664701,447.2109286378941,13.5,SO2,0.0005400000000000002,0.8329389367467838
38,Biopower,2048,837426.5074867932,113.05257851071703,13.5,NOX,0.00013499999999999992,0.8329389367467838
39,Biopower,2048,837426.5074867932,452.2103140428683,13.5,SO2,0.0005399999999999999,0.8329389367467838
40,Biopower,2050,855742.619862,115.52525368137,13.5,NOX,0.000135,0.8329389367467838
41,Biopower,2050,855742.619862,462.10101472548,13.5,SO2,0.00054,0.8329389367467838
42,Coal,2010,1852818295.2055533,1943891.3700599244,10.122255723,NOX,0.0010491538080609612,0.44498110407916297
43,Coal,2010,1852818295.2055533,2552668.604118071,10.122255723,SO2,0.0013777220414562432,0.44498110407916297
44,Coal,2010,1852818295.2055533,2009310.457741423,10.122255723,CO2,1.084461688952887,0.44498110407916297
45,Coal,2012,1205939763.7695873,1218251.6325710374,10.122255723,NOX,0.0010102093563636753,0.44498110407916297
46,Coal,2012,1205939763.7695873,1545714.0107347867,10.122255723,SO2,0.001281750595820073,0.44498110407916297
47,Coal,2012,1205939763.7695873,1282660.3942726364,10.122255723,CO2,1.0636189574371706,0.44498110407916297
48,Coal,2014,1680911328.4300292,1709341.8295614012,10.122255723,NOX,0.00101691374235542,0.44498110407916297
49,Coal,2014,1680911328.4300292,2169927.1716607716,10.122255723,SO2,0.001290923045707285,0.44498110407916297
50,Coal,2014,1680911328.4300292,1798336.3554096157,10.122255723,CO2,1.0698579544283644,0.44498110407916297
51,Coal,2016,936817054.388509,923327.1971389593,10.122255723,NOX,0.0009856003291289835,0.44498110407916297
52,Coal,2016,936817054.388509,1083823.0901135996,10.122255723,SO2,0.0011569207510008944,0.44498110407916297
53,Coal,2016,936817054.388509,984037.2884854204,10.122255723,CO2,1.0504049684788601,0.44498110407916297
54,Coal,2018,943150034.8976551,911483.8437930983,10.122255723,NOX,0.0009664250756158928,0.44498110407916297
55,Coal,2018,943150034.8976551,1040535.9536793305,10.122255723,SO2,0.0011032560199101759,0.44498110407916297
56,Coal,2018,943150034.8976551,987109.9491837164,10.122255723,CO2,1.0466096725435965,0.44498110407916297
57,Coal,2020,649971547.4986441,633700.9134714346,10.122255723,NOX,0.000974967159578253,0.44498110407916297
58,Coal,2020,649971547.4986441,719758.1408804914,10.122255723,SO2,0.0011073686896763627,0.44498110407916297
59,Coal,2020,649971547.4986441,679001.8905356086,10.122255723,CO2,1.0446640212924474,0.44498110407916297
60,Coal,2022,959364952.4075117,921252.6272592478,10.122255723,NOX,0.000960273381831782,0.44498110407916297
61,Coal,2022,959364952.4075117,1047992.059618714,10.122255723,SO2,0.0010923810141164672,0.44498110407916297
62,Coal,2022,959364952.4075117,1004035.563952972,10.122255723,CO2,1.0465626886132957,0.44498110407916297
63,Coal,2024,670889247.7000412,636227.1085432679,10.122255723,NOX,0.0009483340368390121,0.44498110407916297
64,Coal,2024,670889247.7000412,716334.5220576107,10.122255723,SO2,0.001067738862283702,0.44498110407916297
65,Coal,2024,670889247.7000412,696802.7179010649,10.122255723,CO2,1.0386255559913369,0.44498110407916297
66,Coal,2026,548640689.2364247,520218.4567407062,10.122255723,NOX,0.0009481951793709006,0.44498110407916297
67,Coal,2026,548640689.2364247,590336.2067903208,10.122255723,SO2,0.0010759978586566852,0.44498110407916297
68,Coal,2026,548640689.2364247,568228.2536412685,10.122255723,CO2,1.035701990007531,0.44498110407916297
69,Coal,2028,305629143.56932837,294373.62644406647,10.122255723,NOX,0.0009631726313995684,0.44498110407916297
70,Coal,2028,305629143.56932837,340858.92889774195,10.122255723,SO2,0.0011152697184469325,0.44498110407916297
71,Coal,2028,305629143.56932837,316849.20388802415,10.122255723,CO2,1.0367113560822796,0.44498110407916297
72,Coal,2030,184999119.14563024,179171.51540323073,10.122255723,NOX,0.0009684992892435772,0.44498110407916297
73,Coal,2030,184999119.14563024,210434.53765819996,10.122255723,SO2,0.001137489403355197,0.44498110407916297
74,Coal,2030,184999119.14563024,191294.79534227992,10.122255723,CO2,1.034030844177662,0.44498110407916297
75,Coal,2032,145963172.2140533,140155.38383682055,10.122255723,NOX,0.0009602105908693482,0.44498110407916297
76,Coal,2032,145963172.2140533,169102.94065823368,10.122255723,SO2,0.0011585315534951939,0.44498110407916297
77,Coal,2032,145963172.2140533,151122.27031174212,10.122255723,CO2,1.0353452039951767,0.44498110407916297
78,Coal,2034,109955959.42899251,105297.89877238496,10.122255723,NOX,0.0009576370332195079,0.44498110407916297
79,Coal,2034,109955959.42899251,126434.38626290657,10.122255723,SO2,0.0011498638811346603,0.44498110407916297
80,Coal,2034,109955959.42899251,113944.84883982169,10.122255723,CO2,1.0362771552496444,0.44498110407916297
81,Coal,2036,99281181.87099566,95566.48999281405,10.122255723,NOX,0.0009625841291554284,0.44498110407916297
82,Coal,2036,99281181.87099566,112541.57158908775,10.122255723,SO2,0.0011335639792777893,0.44498110407916297
83,Coal,2036,99281181.87099566,103156.34629528828,10.122255723,CO2,1.039032214879633,0.44498110407916297
84,Coal,2038,92155203.19635126,88065.77193941291,10.122255723,NOX,0.0009556245212956107,0.44498110407916297
85,Coal,2038,92155203.19635126,101678.55134678165,10.122255723,SO2,0.0011033403195925833,0.44498110407916297
86,Coal,2038,92155203.19635126,95536.4454713886,10.122255723,CO2,1.036690736472395,0.44498110407916297
87,Coal,2040,86427415.73209526,82101.67108227494,10.122255723,NOX,0.0009499493926414611,0.44498110407916297
88,Coal,2040,86427415.73209526,93199.90327355452,10.122255723,SO2,0.0010783604077952808,0.44498110407916297
89,Coal,2040,86427415.73209526,89501.94728457682,10.122255723,CO2,1.0355735680216553,0.44498110407916297
90,Coal,2042,79853019.38017072,74902.1576398603,10.122255723,NOX,0.0009380003188515646,0.44498110407916297
91,Coal,2042,79853019.38017072,84441.34017664664,10.122255723,SO2,0.0010574595780108386,0.44498110407916297
92,Coal,2042,79853019.38017072,82317.01204197266,10.122255723,CO2,1.0308565997995789,0.44498110407916297
93,Coal,2044,73663459.02799672,68767.97033196337,10.122255723,NOX,0.0009335425085838997,0.44498110407916297
94,Coal,2044,73663459.02799672,76800.5875944245,10.122255723,SO2,0.0010425873100153426,0.44498110407916297
95,Coal,2044,73663459.02799672,76038.07439890962,10.122255723,CO2,1.0322360014347194,0.44498110407916297
96,Coal,2046,74145660.12216346,69979.46051703035,10.122255723,NOX,0.0009438106074142598,0.44498110407916297
97,Coal,2046,74145660.12216346,79362.48077602778,10.122255723,SO2,0.0010703590829897395,0.44498110407916297
98,Coal,2046,74145660.12216346,77108.28882633544,10.122255723,CO2,1.03995687271906,0.44498110407916297
99,Coal,2048,87389140.10501027,82179.22909138176,10.122255723,NOX,0.0009403826264068044,0.44498110407916297
100,Coal,2048,87389140.10501027,91109.67828069595,10.122255723,SO2,0.0010425743767614023,0.44498110407916297
101,Coal,2048,87389140.10501027,90917.98233069215,10.122255723,CO2,1.0403807866909032,0.44498110407916297
102,Coal,2050,98864535.40265463,89705.98115327388,10.122255723,NOX,0.0009073625925405923,0.44498110407916297
103,Coal,2050,98864535.40265463,99909.65894422312,10.122255723,SO2,0.0010105712684261542,0.44498110407916297
104,Coal,2050,98864535.40265463,102177.60968620177,10.122255723,CO2,1.0335112512293076,0.44498110407916297
105,Coal-Integrated_Gas_Combustion_Cycle,2010,3087222.042752,1365.3805258666239,9.325,NOX,0.00044226832633311385,0.4099332114391983
106,Coal-Integrated_Gas_Combustion_Cycle,2010,3087222.042752,892.350348839552,9.325,SO2,0.0002890463777733643,0.4099332114391983
107,Coal-Integrated_Gas_Combustion_Cycle,2010,3087222.042752,3068.040213705,9.325,CO2,0.9937867024848329,0.4099332114391983
108,Coal-Integrated_Gas_Combustion_Cycle,2012,2152469.6962819463,964.284688753776,9.153666667,NOX,0.0004479899022129912,0.4024012839943435
109,Coal-Integrated_Gas_Combustion_Cycle,2012,2152469.6962819463,630.050827529588,9.153666667,SO2,0.0002927106609760416,0.4024012839943435
110,Coal-Integrated_Gas_Combustion_Cycle,2012,2152469.6962819463,2166.539082490443,9.153666667,CO2,1.0065363922348358,0.4024012839943435
111,Coal-Integrated_Gas_Combustion_Cycle,2014,6946222.420032,2934.715276859584,8.982333333,NOX,0.0004224908301807681,0.3948693565055279
112,Coal-Integrated_Gas_Combustion_Cycle,2014,6946222.420032,1918.005497516032,8.982333333,SO2,0.0002761220965203697,0.3948693565055279
113,Coal-Integrated_Gas_Combustion_Cycle,2014,6946222.420032,6598.06267331284,8.982333333,CO2,0.9498778291758824,0.3948693565055279
114,Coal-Integrated_Gas_Combustion_Cycle,2016,2114000.38916,936.63606577212,8.811,NOX,0.0004430633364946036,0.38733742906067303
115,Coal-Integrated_Gas_Combustion_Cycle,2016,2114000.38916,612.17971921876,8.811,SO2,0.0002895835414022844,0.38733742906067303
116,Coal-Integrated_Gas_Combustion_Cycle,2016,2114000.38916,2105.363004561572,8.811,CO2,0.9959141991445611,0.38733742906067303
117,Coal-Integrated_Gas_Combustion_Cycle,2018,2745982.54416,1197.34964833712,8.639666667,NOX,0.00043603687535580856,0.3798055016158183
118,Coal-Integrated_Gas_Combustion_Cycle,2018,2745982.54416,782.69535799376,8.639666667,SO2,0.0002850328963883445,0.3798055016158183
119,Coal-Integrated_Gas_Combustion_Cycle,2018,2745982.54416,2691.37832814907,8.639666667,CO2,0.9801148714047512,0.3798055016158183
120,Coal-Integrated_Gas_Combustion_Cycle,2020,1263563.4708490921,523.494047018141,8.45,NOX,0.00041429976340354505,0.37146762859637805
121,Coal-Integrated_Gas_Combustion_Cycle,2020,1263563.4708490921,342.118471933779,8.45,SO2,0.000270756855374967,0.37146762859637805
122,Coal-Integrated_Gas_Combustion_Cycle,2020,1263563.4708490921,1176.7906331377421,8.45,CO2,0.9313268864499222,0.37146762859637805
123,Coal-Integrated_Gas_Combustion_Cycle,2022,2984328.340352,1291.371067581824,8.243,NOX,0.00043271748960086186,0.3623677707124195
124,Coal-Integrated_Gas_Combustion_Cycle,2022,2984328.340352,844.200206385152,8.243,SO2,0.00028287779027879315,0.3623677707124195
125,Coal-Integrated_Gas_Combustion_Cycle,2022,2984328.340352,2902.72939844612,8.243,CO2,0.9726575186776346,0.3623677707124195
126,Coal-Integrated_Gas_Combustion_Cycle,2024,2193056.771896,912.296302210952,8.036,NOX,0.00041599301664326237,0.3532679128284609
127,Coal-Integrated_Gas_Combustion_Cycle,2024,2193056.771896,596.358277307096,8.036,SO2,0.0002719301592869921,0.3532679128284609
128,Coal-Integrated_Gas_Combustion_Cycle,2024,2193056.771896,2050.8051353592627,8.036,CO2,0.9351354518680544,0.3532679128284609
129,Coal-Integrated_Gas_Combustion_Cycle,2026,1363355.305873157,551.960900680349,7.828,NOX,0.0004048547713883339,0.3441240942783962
130,Coal-Integrated_Gas_Combustion_Cycle,2026,1363355.305873157,360.804978271214,7.828,SO2,0.0002646448630939515,0.3441240942783962
131,Coal-Integrated_Gas_Combustion_Cycle,2026,1363355.305873157,1240.617322372392,7.828,CO2,0.9099735901770979,0.3441240942783962
132,Coal-Integrated_Gas_Combustion_Cycle,2028,871101.3319999999,378.12534062,7.621,NOX,0.00043407733030535647,0.33502423639443757
133,Coal-Integrated_Gas_Combustion_Cycle,2028,871101.3319999999,247.092111256,7.621,SO2,0.00028365484264464427,0.33502423639443757
134,Coal-Integrated_Gas_Combustion_Cycle,2028,871101.3319999999,849.6911426412,7.621,CO2,0.9754217005848869,0.33502423639443757
135,Coal-Integrated_Gas_Combustion_Cycle,2030,467908.9336,174.5641274248,7.414,NOX,0.00037307286715331054,0.32592437851047895
136,Coal-Integrated_Gas_Combustion_Cycle,2030,467908.9336,114.0232667264,7.414,SO2,0.00024368687695087854,0.32592437851047895
137,Coal-Integrated_Gas_Combustion_Cycle,2030,467908.9336,392.24171592552,7.414,CO2,0.8382864437053784,0.32592437851047895
138,Coal-Integrated_Gas_Combustion_Cycle,2032,467908.9336000006,174.5641274248003,7.414,NOX,0.0003730728671533107,0.32592437851047895
139,Coal-Integrated_Gas_Combustion_Cycle,2032,467908.9336000006,114.0232667264002,7.414,SO2,0.00024368687695087865,0.32592437851047895
140,Coal-Integrated_Gas_Combustion_Cycle,2032,467908.9336000006,392.2417159255208,7.414,CO2,0.838286443705379,0.32592437851047895
141,Coal-Integrated_Gas_Combustion_Cycle,2034,440701.23699999996,165.231887491,7.414,NOX,0.0003749294842369594,0.32592437851047895
142,Coal-Integrated_Gas_Combustion_Cycle,2034,440701.23699999996,107.928742688,7.414,SO2,0.00024490229122728786,0.32592437851047895
143,Coal-Integrated_Gas_Combustion_Cycle,2034,440701.23699999996,371.2727441559,7.414,CO2,0.8424590470480119,0.32592437851047895
144,Coal-Integrated_Gas_Combustion_Cycle,2036,458179.3970000003,171.2268963710002,7.414,NOX,0.00037371147086083425,0.32592437851047895
145,Coal-Integrated_Gas_Combustion_Cycle,2036,458179.3970000003,111.84385052800009,7.414,SO2,0.00024410493195528828,0.32592437851047895
146,Coal-Integrated_Gas_Combustion_Cycle,2036,458179.3970000003,384.7431620679003,7.414,CO2,0.8397216561614622,0.32592437851047895
147,Coal-Integrated_Gas_Combustion_Cycle,2038,440701.23699999996,165.231887491,7.414,NOX,0.0003749294842369594,0.32592437851047895
148,Coal-Integrated_Gas_Combustion_Cycle,2038,440701.23699999996,107.928742688,7.414,SO2,0.00024490229122728786,0.32592437851047895
149,Coal-Integrated_Gas_Combustion_Cycle,2038,440701.23699999996,371.2727441559,7.414,CO2,0.8424590470480119,0.32592437851047895
150,Coal-Integrated_Gas_Combustion_Cycle,2040,440701.23699999996,165.231887491,7.414,NOX,0.0003749294842369594,0.32592437851047895
151,Coal-Integrated_Gas_Combustion_Cycle,2040,440701.23699999996,107.928742688,7.414,SO2,0.00024490229122728786,0.32592437851047895
152,Coal-Integrated_Gas_Combustion_Cycle,2040,440701.23699999996,371.2727441559,7.414,CO2,0.8424590470480119,0.32592437851047895
153,Coal-Integrated_Gas_Combustion_Cycle,2042,458179.397,171.226896371,7.414,NOX,0.00037371147086083403,0.32592437851047895
