,ReEDS_Tech,Year,Generation (MWh),Emissions (metric tons),Heat Rate (MMBtu/MWh),EmissionsType,EmissionsRate (kg/kWh),Fuel Input (kg or m3 / kWh)
0,Biopower,2010,3458931.388469016,542.128278534,13.5,NOX,0.00015673288008582196,0.8329389367467838
1,Biopower,2010,3458931.388469016,2168.931339991,13.5,SO2,0.0006270524322111539,0.8329389367467838
2,Biopower,2012,2028525.1570962965,292.131380752,13.5,NOX,0.00014401171202144087,0.8329389367467838
3,Biopower,2012,2028525.1570962965,1168.440148238,13.5,SO2,0.0005760047609715361,0.8329389367467838
4,Biopower,2014,5249497.40617779,724.910279419,13.5,NOX,0.00013809136824525343,0.8329389367467838
5,Biopower,2014,5249497.40617779,2899.720951283,13.5,SO2,0.0005523806808382281,0.8329389367467838
6,Biopower,2016,3225669.650720297,437.964216814,13.5,NOX,0.00013577466518191095,0.8329389367467838
7,Biopower,2016,3225669.650720297,1751.88415316,13.5,SO2,0.000543107119716615,0.8329389367467838
8,Biopower,2018,3725979.9141231785,504.95200842,13.5,NOX,0.0001355219351843523,0.8329389367467838
9,Biopower,2018,3725979.9141231785,2019.808033609,13.5,SO2,0.0005420877407183539,0.8329389367467838
10,Biopower,2020,5042266.023378961,740.935258253,13.5,NOX,0.00014694489636555888,0.8329389367467838
11,Biopower,2020,5042266.023378961,2963.602815707,13.5,SO2,0.0005877521737183173,0.8329389367467838
12,Biopower,2022,5465490.4646091955,746.653803787,13.5,NOX,0.00013661240626469353,0.8329389367467838
13,Biopower,2022,5465490.4646091955,2987.015210504,13.5,SO2,0.0005465228106875096,0.8329389367467838
14,Biopower,2024,2096282.9851198266,282.998202985,13.5,NOX,0.00013499999999705355,0.8329389367467838
15,Biopower,2024,2096282.9851198266,1131.99281194,13.5,SO2,0.0005399999999882142,0.8329389367467838
16,Biopower,2026,1591351.3413760741,214.83243109400001,13.5,NOX,0.0001350000000051717,0.8329389367467838
17,Biopower,2026,1591351.3413760741,859.329724325,13.5,SO2,0.0005399999999886385,0.8329389367467838
18,Biopower,2028,1381907.5200000003,186.557515207,13.5,NOX,0.00013500000000506542,0.8329389367467838
19,Biopower,2028,1381907.5200000003,746.230060789,13.5,SO2,0.0005399999999920399,0.8329389367467838
20,Biopower,2030,1257760.7999999996,169.797708003,13.5,NOX,0.00013500000000238525,0.8329389367467838
21,Biopower,2030,1257760.7999999996,679.190831983,13.5,SO2,0.000539999999986484,0.8329389367467838
22,Biopower,2032,1103339.5200000014,148.950835194,13.5,NOX,0.0001349999999945618,0.8329389367467838
23,Biopower,2032,1103339.5200000014,595.803340803,13.5,SO2,0.0005400000000027183,0.8329389367467838
24,Biopower,2034,903979.4400000001,122.0372244,13.5,NOX,0.000135,0.8329389367467838
25,Biopower,2034,903979.4400000001,488.148897593,13.5,SO2,0.0005399999999922564,0.8329389367467838
26,Biopower,2036,795705.84,107.42028840399999,13.5,NOX,0.00013500000000502699,0.8329389367467838
27,Biopower,2036,795705.84,429.681153608,13.5,SO2,0.0005400000000100539,0.8329389367467838
28,Biopower,2038,722069.279999999,97.479352805,13.5,NOX,0.00013500000000692475,0.8329389367467838
29,Biopower,2038,722069.279999999,389.917411202,13.5,SO2,0.0005400000000027706,0.8329389367467838
30,Biopower,2040,703673.28,94.99589280000001,13.5,NOX,0.000135,0.8329389367467838
31,Biopower,2040,703673.28,379.9835712,13.5,SO2,0.0005399999999999999,0.8329389367467838
32,Biopower,2042,862345.1233859995,116.41659165,13.5,NOX,0.00013499999999175513,0.8329389367467838
33,Biopower,2042,862345.1233859995,465.66636662999997,13.5,SO2,0.0005400000000018093,0.8329389367467838
34,Biopower,2044,825048.9015039998,111.3816017,13.5,NOX,0.0001349999999963154,0.8329389367467838
35,Biopower,2044,825048.9015039998,445.52640680999997,13.5,SO2,0.0005399999999973821,0.8329389367467838
36,Biopower,2046,845793.2102135299,114.18208338,13.5,NOX,0.0001350000000013874,0.8329389367467838
37,Biopower,2046,845793.2102135299,456.72833352000004,13.5,SO2,0.0005400000000055497,0.8329389367467838
38,Biopower,2048,807841.3260540001,109.05857901,13.5,NOX,0.00013499999999097594,0.8329389367467838
39,Biopower,2048,807841.3260540001,436.23431607199996,13.5,SO2,0.0005400000000035154,0.8329389367467838
40,Biopower,2050,826079.6653076478,111.52075481600001,13.5,NOX,0.00013499999999935547,0.8329389367467838
41,Biopower,2050,826079.6653076478,446.08301928699996,13.5,SO2,0.0005400000000252641,0.8329389367467838
42,Coal,2010,1852818295.2055533,1943891.370083458,10.122255723,NOX,0.0010491538080736628,0.44498110407916297
43,Coal,2010,1852818295.2055533,2552668.604070732,10.122255723,SO2,0.0013777220414306934,0.44498110407916297
44,Coal,2010,1852818295.2055533,2009310.457713613,10.122255723,CO2,1.0844616889378773,0.44498110407916297
45,Coal,2012,1205939763.7695873,1218251.632585734,10.122255723,NOX,0.001010209356375862,0.44498110407916297
46,Coal,2012,1205939763.7695873,1545714.010713342,10.122255723,SO2,0.0012817505958022907,0.44498110407916297
47,Coal,2012,1205939763.7695873,1282660.394281076,10.122255723,CO2,1.0636189574441692,0.44498110407916297
48,Coal,2014,1680911328.4300292,1709341.8295874,10.122255723,NOX,0.001016913742370887,0.44498110407916297
49,Coal,2014,1680911328.4300292,2169927.17166852,10.122255723,SO2,0.0012909230457118948,0.44498110407916297
50,Coal,2014,1680911328.4300292,1798336.3554113,10.122255723,CO2,1.0698579544293665,0.44498110407916297
51,Coal,2016,936817054.388509,923327.1971203199,10.122255723,NOX,0.0009856003291090869,0.44498110407916297
52,Coal,2016,936817054.388509,1083823.09008855,10.122255723,SO2,0.0011569207509741553,0.44498110407916297
53,Coal,2016,936817054.388509,984037.28845637,10.122255723,CO2,1.0504049684478503,0.44498110407916297
54,Coal,2018,943150034.8976551,911483.843790589,10.122255723,NOX,0.0009664250756132323,0.44498110407916297
55,Coal,2018,943150034.8976551,1040535.953680004,10.122255723,SO2,0.00110325601991089,0.44498110407916297
56,Coal,2018,943150034.8976551,987109.949186759,10.122255723,CO2,1.0466096725468226,0.44498110407916297
57,Coal,2020,649971547.4986441,633700.91349412,10.122255723,NOX,0.0009749671596131551,0.44498110407916297
58,Coal,2020,649971547.4986441,719758.14087388,10.122255723,SO2,0.001107368689666191,0.44498110407916297
59,Coal,2020,649971547.4986441,679001.89056335,10.122255723,CO2,1.0446640213351286,0.44498110407916297
60,Coal,2022,959364952.4075117,921252.6272474,10.122255723,NOX,0.0009602733818194323,0.44498110407916297
61,Coal,2022,959364952.4075117,1047992.05962192,10.122255723,SO2,0.001092381014119809,0.44498110407916297
62,Coal,2022,959364952.4075117,1004035.563924,10.122255723,CO2,1.0465626885830965,0.44498110407916297
63,Coal,2024,670914052.8705649,636254.07784268,10.122255723,NOX,0.0009483391726859959,0.44498110407916297
64,Coal,2024,670914052.8705649,716362.9416141399,10.122255723,SO2,0.0010677417450851087,0.44498110407916297
65,Coal,2024,670914052.8705649,696829.5759295,10.122255723,CO2,1.0386271877121267,0.44498110407916297
66,Coal,2026,547131073.3404124,518764.30747009,10.122255723,NOX,0.0009481536193930019,0.44498110407916297
67,Coal,2026,547131073.3404124,588665.22043276,10.122255723,SO2,0.0010759126087260373,0.44498110407916297
68,Coal,2026,547131073.3404124,566636.07844331,10.122255723,CO2,1.0356496021763364,0.44498110407916297
