Ecoinvent_name,Ecoinvent_code,unit,location
"market for electricity, high voltage",60e9936a172e50eabbe7527892053bb9,kilowatt hour,AO
"ethanol production, via fermentation, from corn, with carbon capture and storage, energy allocation",5c3500c7adfc46a28c1a35428f410ac6,kilogram,SEAS
"Heavy duty truck, diesel hybrid, 60t gross weight, 2020, EURO-VI, urban delivery",b7d1196e0aac4c0b97742b149573470a,unit,RER
"hydrogen supply, from coal gasification, with CCS, by ship, as liquid, over 2000 km",4bccd0354a9947dbb12a947468783775,kilogram,JAP
"nutrient supply from filter cake, from sugarcane juice filtration",376c36d88c0e7db4419563f444cbddc7,kilogram,GLO
"hydrogen supply, from thermochemical water splitting, by H2 pipeline, as gaseous, over 500 km",e289c0cf34864cde99fdac128a5b7a77,kilogram,RSAM
"sodium silicate production, hydrothermal liquor, product in 48% solution state",34273687d11afcabbeca8c87c19a8dfd,kilogram,RoW
"lithium brine production, boron removal, from Salar del Hombre Muerto",1c4b3924f5244e8aa0080b5382bebc66,kilogram,AR
market for peat,58a8ebfbfcbc5a16e9f637090c90e023,kilogram,RoW
"carbon dioxide storage at wood burning power plant 20 MW post, pipeline 200km, storage 1000m",091ead83b6544081b8ea02bddab8c858,kilogram,SEAS
market for sanitary ceramics,e778675c59a0413a8b648f21ef65e098,kilogram,GLO
"hydrogen supply, from coal gasification, by truck, as gaseous, over 500 km",80b7e282416444c5ba186bcd0024914b,kilogram,RSAM
"glazing production, triple, U<0.5 W/m2K",7845c41ca4c66d7677dddb6bf9a6d38a,square meter,RER
"wood preservation, oscillating pressure method, inorganic salt, containing Cr, outdoor use, ground contact",c594ca5dfa44864288ef5e1c7178be30,kilogram,RER
"market for diesel, burned in building machine",4d897d9709b7282dfae394368a8a8bce,megajoule,GLO
"market for electricity, medium voltage",7aefab3d6a3677065ff2e004c48efb47,kilowatt hour,MN
"aluminium milling, dressing",a0f78f0c2cb846707963d499e3683795,kilogram,RER
"operation, solar collector system, Cu flat plate collector, multiple dwelling, for hot water",546138c27f97151dca1752aa8b847ad4,megajoule,RoW
"heat and power co-generation, natural gas, conventional power plant, 100MW electrical",38cb88650edc1013a0cda5baf08ca7b6,kilowatt hour,IE
hard coal mine operation and hard coal preparation,e5864de88d491b7078d06cf82a6c45d5,kilogram,RoW
market for phosphorus oxychloride,24bc12758dafa7f0342f12a1f505285c,kilogram,RER
"market for cement, blast furnace slag 66-80%",68bb4559951a4f18b4a43179ac07aaf6,kilogram,KOR
clinker production,69402ec143e74a689cefe22c43812561,kilogram,RSAF
"carbon monoxide, from RWGS, for Fischer Tropsch process, hydrogen from coal gasification",d0641893349e4b8fbc8acdd915390694,kilogram,SEAS
"diesel, burned in diesel-electric generating set, at extraction site",daa21a79e72c4326a4d4d8153b98adfb,megajoule,RSAS
"market for tanker, for petroleum",00a6ada2f8f878512f3e4b124033353e,unit,GLO
"transport, freight, lorry, 40t gross weight, unspecified powertrain, regional delivery",16adab42a635466eb01fa32b3a9cf786,ton kilometer,RUS
"market for transport, freight, aircraft, very short haul",202d6feaf4b736fe6914490b7486ec5d,ton kilometer,GLO
"market for cement, pozzolana and fly ash 11-35%",7fd0217f7b4f4197b988fa23da926df0,kilogram,EAF
trichloroacetic acid production,39e1cc79d64b84cade93c37cbc628997,kilogram,RoW
market for formic acid,e33116020756508e7bd07cb8720d8809,kilogram,RoW
"electricity production, at hard coal-fired IGCC power plant, pre, pipeline 200km, storage 1000m",3d8c3f15a83f409a9ce92f7386836d60,kilowatt hour,RSAF
"treatment of waste mineral wool, sorting plant",07b970e44e0cd9cb80f4220eb5c23ed5,kilogram,CH
"market for lime, packed",2738652bacae003dbebde2c5dfc19207,kilogram,Europe without Switzerland
"heat and power co-generation, biogas, gas engine",6efab4c05262a892475cb41559ea422e,kilowatt hour,CL
"heat and power co-generation, natural gas, mini-plant 2KW electrical",a9a8fdc164661366f3e6d8457b0d736a,megajoule,Europe without Switzerland
"phosphoric acid production, dihydrate process",66857979fc5f1325806332eaf81559e1,kilogram,US
"market for sawnwood, softwood, dried (u=10%), planed",149112191d5ec8464819af0d447f6390,cubic meter,RoW
"electricity production, photovoltaic, residential",cf8cfa184ffb42ba8b51c8cee9106b6b,kilowatt hour,DE
citric acid production,94ebbfc49de686c214ea74652017195d,kilogram,RNA
"ethanol production, via fermentation, from poplar, economic allocation",acd8f6620c8443c0bef3dd9d3565075c,kilogram,TUR
"hydrogen supply, from thermochemical water splitting, by H2 pipeline, as gaseous, over 500 km",542dc43a0bc542c1a2d36944d838c127,kilogram,INDO
"market for electricity, medium voltage",2c56a288cab9315456c97b98790def4e,kilowatt hour,CA-MB
"softwood forestry, mixed species, sustainable forest management",a5c206be127a3c5f9e80a9bc581fccd0,kilogram,CH
electricity voltage transformation from high to medium voltage,f9fc78db116d08052c323327f1c9be12,kilowatt hour,SY
"white spirit production, petroleum refinery operation",edafe8e65fcc1514ab45c27f00830240,kilogram,CO
"ethanol, from corn, with carbon capture and storage, economic allocation, at fuelling station",6e153548d2d84539b9c8a52aea87b48a,kilogram,US
"natural gas, at long-distance pipeline",d02545dabd034a9eb1ef464dad1c6f9c,cubic meter,NL
market for decommissioned chemical production facilities,92efdbca676faca11096757fb56aeae0,kilogram,GLO
"hydrogen supply, from coal gasification, by truck, as gaseous, over 500 km",c7c698d6b2744b11879c06694a289fd5,kilogram,INDO
"synthetic fuel production, from coal, high temperature Fisher-Tropsch operations",dffc1d45188f9009b3e0631b482759e0,kilogram,ZA
"market for contouring, bronze",946e3fa21fd3eb8e14c178e1b48eff5e,kilogram,GLO
"grass seed production, Swiss integrated production, at farm",d0c8f078f684383f0b4a721e6f338775,kilogram,CH
internet access equipment production,f5b60edfb49ce8a91b33952bf1d6fcd9,unit,RoW
"carbon dioxide storage from natural gas, post, 400km pipeline, storage 3000m",e0ab1e1e5be241d4b40a13e656d2b643,kilogram,USA
"sewer grid construction, 1.6E8l/year, 6 km",b741631c3da3877375a7ea5436ff6883,kilometer,CH
"treatment of waste brick, collection for final disposal",963f66e0ff670f639c238bc4e23cbbd1,kilogram,RoW
potassium sulfate production,fc40d6b62f5b95d3c5f54a44aa97449c,kilogram,RER
"transport, freight, lorry, 26t gross weight, unspecified powertrain, regional delivery",056c883b88d240de9d7f7d0917283371,ton kilometer,USA
"hydrogen supply, from coal gasification, with CCS, by truck, as gaseous, over 500 km",9196b1b0b6b54a258c770891cd1112fc,kilogram,WAF
"treatment of waste paperboard, open dump, very wet infiltration class (1000mm)",24d36dcb0e3ec6fc169b23cc8a3e856f,kilogram,GLO
"market for sawlog and veneer log, softwood, measured as solid wood under bark",b325a0cc11077c552e6e6a9685de65b9,cubic meter,CH
"diesel, burned in diesel-electric generating set, 18.5kW",ec894848a2724590a9bff22a96174260,megajoule,KOR
"silicon production, single crystal, Czochralski process, photovoltaics",fbf0e6f15c1266eb6dde422abf92e1a2,kilogram,RER
electricity voltage transformation from medium to low voltage,6447ce04598babd26560140599a90520,kilowatt hour,SS
peanut production,da27d3874ad855b29477fda0d7946704,kilogram,IN
"heat and power co-generation, wood chips, 6667 kW",b10f743fbda64b56218780df215ad893,kilowatt hour,TR
"impact extrusion of aluminium, cold, initial surface treatment",fae4f4303253ffc3b6a867e806fe07c3,kilogram,RER
"fuel cell production, solid oxide, 125kW electrical, future",f3a70043a755726676c3027d9a4ebe30,unit,RoW
"market for land use change, forest, intensive",648c105e26052b8a65d3d894074c1897,hectare,BR-ES
market group for waste polyurethane,cae8dcac1a7ba052376fad9d4eab2e19,kilogram,RER
"electricity production, deep geothermal",986cb1ee07d781593b12bdc406bee855,kilowatt hour,DE
"bitumen adhesive compound production, hot",301855423d37dd39850937c0fe2378f6,kilogram,RoW
"hydrogen supply, from coal gasification, by truck, as gaseous, over 500 km",9bcb47561767414195410c9c698d21bb,kilogram,ME
"heat and power co-generation, hard coal",2f0ca9c871ae3856444c6cde5e6b0df6,megajoule,PL
"hydrogen supply, from coal gasification, with CCS, by truck, as liquid, over 500 km",29cd0aaef76b41e48b223c7956112fc6,kilogram,CEU
"hydrogen supply, from gasification of biomass, with CCS, by truck, as gaseous, over 500 km",0dc003c130584549a0ef2d56889d2d01,kilogram,STAN
