location_common,location_ecoinvent
unknown,GLO
US-SERC,US-SERC
GLO,GLO
RER,RER
DE,DE
CH,CH
Europe without Switzerland,Europe without Switzerland
China,CN
CN,CN
US,US
RoW,RoW
USA,USA
AU,AU
US-WECC,US-WECC
US-HICC,US-HICC
US-MRO,US-MRO
US-TRE,US-TRE
US-NPCC,US-NPCC
US-ASCC,US-ASCC
US-SERC,US-SERC
US-RFC,US-RFC
US-FRCC,US-FRCC
WECC,WECC
US-TRE-p63,US-TRE-p63
US-RFC-p123,US-RFC-p123
US-NPCC-p134,US-NPCC-p134
US-WECC-p8,US-WECC-p8
US-NPCC-p133,US-NPCC-p133
US-RFC-p80,US-RFC-p80
US-WECC-p9,US-WECC-p9
US-SPP-p66,US-SPP-p66
US-MRO-p75,US-MRO-p75
US-NPCC-p127,US-NPCC-p127
US-NPCC-p132,US-NPCC-p132
US-WECC-p33,US-WECC-p33
US-MRO-p78,US-MRO-p78
US-MRO-p77,US-MRO-p77
US-MRO-p76,US-MRO-p76
US-MRO-p70,US-MRO-p70
US-NPCC-p130,US-NPCC-p130
US-MRO-p46,US-MRO-p46
US-RFC-p79,US-RFC-p79
US-WECC-p10,US-WECC-p10
US-FRCC-p101,US-FRCC-p101
US-RFC-p112,US-RFC-p112
US-RFC-p103,US-RFC-p103
US-SERC-p96,US-SERC-p96
US-SERC-p99,US-SERC-p99
US-SERC-p94,US-SERC-p94
US-RFC-p122,US-RFC-p122
US-SERC-p97,US-SERC-p97
US-SERC-p98,US-SERC-p98
US-WECC-p15,US-WECC-p15
US-WECC-p5,US-WECC-p5
US-WECC-p26,US-WECC-p26
US-MRO-p37,US-MRO-p37
US-WECC-p34,US-WECC-p34
US-MRO-p36,US-MRO-p36
US-WECC-p25,US-WECC-p25
US-MRO-p38,US-MRO-p38
US-WECC-p29,US-WECC-p29
US-WECC-p31,US-WECC-p31
US-WECC-p28,US-WECC-p28
US-WECC-p24,US-WECC-p24
US-SERC-p109,US-SERC-p109
US-RFC-p107,US-RFC-p107
US-RFC-p117,US-RFC-p117
US-RFC-p116,US-RFC-p116
US-SERC-p108,US-SERC-p108
US-RFC-p115,US-RFC-p115
US-RFC-p105,US-RFC-p105
US-WECC-p12,US-WECC-p12
US-RFC-p118,US-RFC-p118
US-RFC-p114,US-RFC-p114
US-RFC-p111,US-RFC-p111
US-WECC-p23,US-WECC-p23
US-WECC-p21,US-WECC-p21
US-RFC-p121,US-RFC-p121
US-WECC-p2,US-WECC-p2
US-SERC-p72,US-SERC-p72
US-SERC-p83,US-SERC-p83
US-SERC-p82,US-SERC-p82
US-SERC-p81,US-SERC-p81
US-SERC-p85,US-SERC-p85
US-SERC-p84,US-SERC-p84
US-TRE-p67,US-TRE-p67
US-TRE-p65,US-TRE-p65
US-MRO-p69,US-MRO-p69
US-SERC-p92,US-SERC-p92
US-SERC-p91,US-SERC-p91
US-SERC-p90,US-SERC-p90
US-SERC-p93,US-SERC-p93
US-SERC-p88,US-SERC-p88
US-SERC-p87,US-SERC-p87
US-SERC-p89,US-SERC-p89
US-MRO-p45,US-MRO-p45
US-MRO-p43,US-MRO-p43
US-SPP-p50,US-SPP-p50
US-SPP-p52,US-SPP-p52
US-SPP-p51,US-SPP-p51
US-MRO-p40,US-MRO-p40
US-MRO-p41,US-MRO-p41
US-SPP-p53,US-SPP-p53
US-SPP-p56,US-SPP-p56
US-TRE-p64,US-TRE-p64
US-SPP-p55,US-SPP-p55
US-SPP-p58,US-SPP-p58
US-SPP-p57,US-SPP-p57
US-SPP-p54,US-SPP-p54
US-MRO-p74,US-MRO-p74
US-NPCC-p129,US-NPCC-p129
US-WECC-p17,US-WECC-p17
US-WECC-p19,US-WECC-p19
US-WECC-p3,US-WECC-p3
US-WECC-p16,US-WECC-p16
US-WECC-p13,US-WECC-p13
US-SERC-p95,US-SERC-p95
US-WECC-p18,US-WECC-p18
US-WECC-p7,US-WECC-p7
US-WECC-p6,US-WECC-p6
US-WECC-p14,US-WECC-p14
US-WECC-p4,US-WECC-p4
US-NPCC-p131,US-NPCC-p131
US-WECC-p27,US-WECC-p27
US-WECC-p1,US-WECC-p1
US-RFC-p125,US-RFC-p125
US-RFC-p126,US-RFC-p126
US-RFC-p106,US-RFC-p106
US-RFC-p104,US-RFC-p104
US-WECC-p11,US-WECC-p11
US-MRO-p35,US-MRO-p35
US-SPP-p47,US-SPP-p47
US-NPCC-p128,US-NPCC-p128
US-FRCC-p102,US-FRCC-p102
US-SERC-p100,US-SERC-p100
US-TRE-p60,US-TRE-p60
US-TRE-p62,US-TRE-p62
US-WECC-p30,US-WECC-p30
US-WECC-p59,US-WECC-p59
US-RFC-p119,US-RFC-p119
US-MRO-p68,US-MRO-p68
US-SERC-p86,US-SERC-p86
US-SPP-p48,US-SPP-p48
US-MRO-p44,US-MRO-p44
US-MRO-p42,US-MRO-p42
US-SERC-p73,US-SERC-p73
US-RFC-p113,US-RFC-p113
US-SERC-p110,US-SERC-p110
US-SERC-p71,US-SERC-p71
US-MRO-p39,US-MRO-p39
US-TRE-p61,US-TRE-p61
US-WECC-p32,US-WECC-p32
US-RFC-p124,US-RFC-p124
US-SPP-p49,US-SPP-p49
US-WECC-p20,US-WECC-p20
US-RFC-p120,US-RFC-p120
US-WECC-p22,US-WECC-p22
RNA,RNA
CA-QC,CA-QC
"IAI Area, North America","IAI Area, North America"
US-US,US-US
