Common_name,Ecoinvent_name,Ecoinvent_code
Acenaphthene,Acenaphthene,99c07b66-c039-4896-866d-06abdaa9d46a
Acenaphthene,Acenaphthene,922a7ccf-3338-43ad-bd7e-77d51df051ab
Acetaldehyde,Acetaldehyde,5ad58fcc-e9ba-4155-a3c9-e4ffb3065a6f
Acetaldehyde,Acetaldehyde,fc9f9a81-c4b9-4dce-bc20-9f04e05ca2f1
Acetic acid,Acetic acid,c5cc0625-6e01-4639-b053-5d1d9d22a53c
Acetic acid,Acetic acid,b9b68c0c-053e-41de-ab72-8dfe1c3f5755
Acetone,Acetone,1f130425-11f9-4ec2-8d2f-d282acaacf5c
Acrolein,Acrolein,12840cef-c3b8-4ef2-b7d4-3a73dbd6a280
"Actinides, radioactive, unspecified","Actinides, radioactive, unspecified",02703daf-fde4-489a-b7e5-523e46151312
"Aerosols, radioactive, unspecified","Aerosols, radioactive, unspecified",72958cbe-6609-46c2-bbfa-ee4ab826ca12
"Aldehydes, unspecified","Aldehydes, unspecified",ba1a3dcb-d53a-42fd-80f0-d09f3a12ffe2
Ammonia,Ammonia,9990b51b-7023-4700-bca0-1a32ef921f74
Antimony,Antimony,43b29ad9-26dd-4838-b931-6216e55a0120
Antimony-122,Antimony-122,ad1ed615-e2cf-49e3-bd34-4589b4583222
Antimony-124,Antimony-124,077b92b0-0610-48ba-9ff8-55c13e98364b
Antimony-124,Antimony-124,7567e592-ecfa-467b-9f11-19f11786505b
Antimony-125,Antimony-125,01f511e2-7030-45f0-abb7-c24a4fae698b
Antimony-125,Antimony-125,51f80fcc-8eb0-4912-afbd-e9b9861e45a4
"AOX, Adsorbable Organic Halogen as Cl","AOX, Adsorbable Organic Halogen as Cl",e395a1a3-6915-4b72-a533-ff1a82fc3da1
Arsenic,Arsenic,f4d0a2c8-efef-4188-85da-5801097389a2
Arsenic,Arsenic,7348af7c-e102-4a03-a0df-efce16469eed
"Arsenic, ion","Arsenic, ion",8c8ffaa5-84ed-4668-ba7d-80fd0f47013f
Barium,Barium,24cf82f8-c517-4fef-8f93-17519adb855e
Barium-140,Barium-140,3f206533-f017-4d74-8a2d-e563af85d417
Benzene,Benzene,1bb6a502-3ff9-4a79-835c-5588b855f1f5
Benzene,Benzene,5e883a00-04e6-4d96-8dce-12d7117c6635
Benzene,Benzene,28999907-a8a7-45b3-857e-836495ca2aa0
"Benzene, ethyl-","Benzene, ethyl-",7c09916a-b6b5-47f5-bdf6-30d2511beb82
"Benzene, ethyl-","Benzene, ethyl-",e0e605c8-370b-4b5a-b6d4-2e7a5a1a6709
"Benzene, hexachloro-","Benzene, hexachloro-",1af44724-172c-462b-b277-bb4b2fd32c33
Benzo(a)pyrene,Benzo(a)pyrene,2cbb504a-ce2f-40e9-9d38-e130e95a1242
Benzo(a)pyrene,Benzo(a)pyrene,81c4ba39-8a3f-4a43-97b4-401605bbebf5
Beryllium,Beryllium,5d4b497b-d265-42d1-a41a-113785a6d694
Beryllium,Beryllium,19e97bd6-d0ae-4208-bd77-d58e5d46d827
"BOD5, Biological Oxygen Demand","BOD5, Biological Oxygen Demand",70d467b6-115e-43c5-add2-441de9411348
Boron,Boron,512364ac-5bba-4b77-8712-981247617519
Bromine,Bromine,77c46f0e-c8c0-4bc3-992c-2a9725d49f70
