lcia,value,unit,year,method
Acidification,0.0,moles of H+-Eq,premise_base_ecoinvent_2020,TRACI2.1
Ecotoxicity,0.0,"kg 2,4-D-Eq",premise_base_ecoinvent_2020,TRACI2.1
Eutrophication,0.0,kg N,premise_base_ecoinvent_2020,TRACI2.1
Global Warming,0.0,kg CO2-Eq,premise_base_ecoinvent_2020,TRACI2.1
Carcinogenics,0.0,kg benzene-Eq,premise_base_ecoinvent_2020,TRACI2.1
Ozone Depletion,0.0,kg CFC-11-Eq,premise_base_ecoinvent_2020,TRACI2.1
Photochemical Oxidation,0.0,kg NOx-Eq,premise_base_ecoinvent_2020,TRACI2.1
Non-Carcinogenics,0.0,kg toluene-Eq,premise_base_ecoinvent_2020,TRACI2.1
"Respiratory Effects, Average",0.0,kg PM2.5-Eq,premise_base_ecoinvent_2020,TRACI2.1
Alop,0.0,square meter-year,premise_base_ecoinvent_2020,RECIPE
Gwp100,0.0,kg CO2-Eq,premise_base_ecoinvent_2020,RECIPE
Fdp,0.0,kg oil-Eq,premise_base_ecoinvent_2020,RECIPE
Fetpinf,0.0,"kg 1,4-DCB-Eq",premise_base_ecoinvent_2020,RECIPE
Fep,0.0,kg P-Eq,premise_base_ecoinvent_2020,RECIPE
Htpinf,0.0,"kg 1,4-DCB-Eq",premise_base_ecoinvent_2020,RECIPE
Irp_He,0.0,kg U235-Eq,premise_base_ecoinvent_2020,RECIPE
Metpinf,0.0,"kg 1,4-DB-Eq",premise_base_ecoinvent_2020,RECIPE
Mep,0.0,kg N-Eq,premise_base_ecoinvent_2020,RECIPE
Mdp,0.0,kg Fe-Eq,premise_base_ecoinvent_2020,RECIPE
Nltp,0.0,square meter,premise_base_ecoinvent_2020,RECIPE
Odpinf,0.0,kg CFC-11-Eq,premise_base_ecoinvent_2020,RECIPE
Pmfp,0.0,kg PM10-Eq,premise_base_ecoinvent_2020,RECIPE
Pofp,0.0,kg NMVOC-Eq,premise_base_ecoinvent_2020,RECIPE
Tap100,0.0,kg SO2-Eq,premise_base_ecoinvent_2020,RECIPE
Tetpinf,0.0,"kg 1,4-DCB-Eq",premise_base_ecoinvent_2020,RECIPE
Ulop,0.0,square meter-year,premise_base_ecoinvent_2020,RECIPE
Wdp,0.0,m3 water-Eq,premise_base_ecoinvent_2020,RECIPE
