process,flow,code,value,unit,input,year,comments,type,process_location,supplying_location
"market group for electricity, high voltage","electricity, high voltage",,1,kilowatt hour,FALSE,2020,none,production,,
"market group for electricity, high voltage",ReEDS_State_Grid_Mix,,1,kilowatt hour,TRUE,2020,none,technosphere,,
"market group for electricity, high voltage","market for sulfur hexafluoride, liquid",,5.40E-08,kilogram,TRUE,2021,none,technosphere,,
"market group for electricity, high voltage","transmission network construction, electricity, medium voltage",,1.86E-08,kilometer,TRUE,2022,none,technosphere,,
