,lcia,value,unit,year,method,Location,Process,Scenario,model,abbv,full,order_num
140,Global Warming,0.4459892735735904,kg CO2-Eq,2022,RECIPE,US,US Electricity Grid Mix,High_Demand_Growth,ReEDS,Gwp100,Global Warming,0.0
141,Global Warming,0.4459892574193163,kg CO2-Eq,2022,RECIPE,US,US Electricity Grid Mix,High_Demand_Growth_100by2035,ReEDS,Gwp100,Global Warming,0.0
142,Global Warming,0.4461026539926951,kg CO2-Eq,2022,RECIPE,US,US Electricity Grid Mix,High_RE_Cost_NoNascent,ReEDS,Gwp100,Global Warming,0.0
143,Global Warming,0.445080439275367,kg CO2-Eq,2022,RECIPE,US,US Electricity Grid Mix,DAC_95by2050,ReEDS,Gwp100,Global Warming,0.0
144,Global Warming,0.4567089833133108,kg CO2-Eq,2022,RECIPE,US,US Electricity Grid Mix,High_NG_Price_NoNascent,ReEDS,Gwp100,Global Warming,0.0
145,Global Warming,0.445080439275367,kg CO2-Eq,2022,RECIPE,US,US Electricity Grid Mix,No_TC_Expiration_100by2035,ReEDS,Gwp100,Global Warming,0.0
146,Global Warming,0.4446051984978418,kg CO2-Eq,2022,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost_95by2050_NoNascent,ReEDS,Gwp100,Global Warming,0.0
147,Global Warming,0.4459892574193163,kg CO2-Eq,2022,RECIPE,US,US Electricity Grid Mix,High_Demand_Growth_95by2050,ReEDS,Gwp100,Global Warming,0.0
148,Global Warming,0.4403829718725022,kg CO2-Eq,2022,RECIPE,US,US Electricity Grid Mix,Low_NG_Price_NoNascent,ReEDS,Gwp100,Global Warming,0.0
149,Global Warming,0.4450803639946861,kg CO2-Eq,2022,RECIPE,US,US Electricity Grid Mix,No_TC_Expiration,ReEDS,Gwp100,Global Warming,0.0
150,Global Warming,0.4461026539926951,kg CO2-Eq,2022,RECIPE,US,US Electricity Grid Mix,High_RE_Cost,ReEDS,Gwp100,Global Warming,0.0
151,Global Warming,0.4446054273567316,kg CO2-Eq,2022,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost_NoNascent,ReEDS,Gwp100,Global Warming,0.0
152,Global Warming,0.4450804310901555,kg CO2-Eq,2022,RECIPE,US,US Electricity Grid Mix,Low_Nuclear_CCS_Cost_100by2035,ReEDS,Gwp100,Global Warming,0.0
153,Global Warming,0.445080439275367,kg CO2-Eq,2022,RECIPE,US,US Electricity Grid Mix,High_Trans_100by2035,ReEDS,Gwp100,Global Warming,0.0
154,Global Warming,0.4450803557812227,kg CO2-Eq,2022,RECIPE,US,US Electricity Grid Mix,Low_Nuclear_CCS_Cost,ReEDS,Gwp100,Global Warming,0.0
155,Global Warming,0.4446054422924339,kg CO2-Eq,2022,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost_95by2050,ReEDS,Gwp100,Global Warming,0.0
156,Global Warming,0.4461219292102018,kg CO2-Eq,2022,RECIPE,US,US Electricity Grid Mix,High_RE_Cost_95by2050_NoNascent,ReEDS,Gwp100,Global Warming,0.0
157,Global Warming,0.4456970610178446,kg CO2-Eq,2022,RECIPE,US,US Electricity Grid Mix,No_IRA_NoNascent,ReEDS,Gwp100,Global Warming,0.0
158,Global Warming,0.4403823766896808,kg CO2-Eq,2022,RECIPE,US,US Electricity Grid Mix,Low_NG_Price_95by2050,ReEDS,Gwp100,Global Warming,0.0
159,Global Warming,0.4456971019932322,kg CO2-Eq,2022,RECIPE,US,US Electricity Grid Mix,No_IRA,ReEDS,Gwp100,Global Warming,0.0
160,Global Warming,0.4461026029898927,kg CO2-Eq,2022,RECIPE,US,US Electricity Grid Mix,High_RE_Cost_100by2035,ReEDS,Gwp100,Global Warming,0.0
161,Global Warming,0.4446054423501077,kg CO2-Eq,2022,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost,ReEDS,Gwp100,Global Warming,0.0
162,Global Warming,0.4472083662283727,kg CO2-Eq,2022,RECIPE,US,US Electricity Grid Mix,Reduced_RE_Resource_95by2050_NoNascent,ReEDS,Gwp100,Global Warming,0.0
163,Global Warming,0.445080439275367,kg CO2-Eq,2022,RECIPE,US,US Electricity Grid Mix,Mid_Case_95by2050,ReEDS,Gwp100,Global Warming,0.0
164,Global Warming,0.4567090078158288,kg CO2-Eq,2022,RECIPE,US,US Electricity Grid Mix,High_NG_Price,ReEDS,Gwp100,Global Warming,0.0
165,Global Warming,0.4447678022665379,kg CO2-Eq,2022,RECIPE,US,US Electricity Grid Mix,Low_Demand_Growth,ReEDS,Gwp100,Global Warming,0.0
166,Global Warming,0.4567090197029989,kg CO2-Eq,2022,RECIPE,US,US Electricity Grid Mix,High_NG_Price_95by2050,ReEDS,Gwp100,Global Warming,0.0
167,Global Warming,0.4461026029898927,kg CO2-Eq,2022,RECIPE,US,US Electricity Grid Mix,High_RE_Cost_95by2050,ReEDS,Gwp100,Global Warming,0.0
168,Global Warming,0.4450804141397323,kg CO2-Eq,2022,RECIPE,US,US Electricity Grid Mix,Mid_Case_NoNascent,ReEDS,Gwp100,Global Warming,0.0
169,Global Warming,0.4447571272778565,kg CO2-Eq,2022,RECIPE,US,US Electricity Grid Mix,Low_Demand_Growth_95by2050_NoNascent,ReEDS,Gwp100,Global Warming,0.0
170,Global Warming,0.4450804141397323,kg CO2-Eq,2022,RECIPE,US,US Electricity Grid Mix,No_TC_Expiration_NoNascent,ReEDS,Gwp100,Global Warming,0.0
171,Global Warming,0.4567090197029989,kg CO2-Eq,2022,RECIPE,US,US Electricity Grid Mix,High_NG_Price_100by2035,ReEDS,Gwp100,Global Warming,0.0
172,Global Warming,0.4450804392374278,kg CO2-Eq,2022,RECIPE,US,US Electricity Grid Mix,DAC_95by2050_NoNascent,ReEDS,Gwp100,Global Warming,0.0
173,Global Warming,0.4567090252644078,kg CO2-Eq,2022,RECIPE,US,US Electricity Grid Mix,High_NG_Price_95by2050_NoNascent,ReEDS,Gwp100,Global Warming,0.0
174,Global Warming,0.4456969279915443,kg CO2-Eq,2022,RECIPE,US,US Electricity Grid Mix,No_IRA_95by2050_NoNascent,ReEDS,Gwp100,Global Warming,0.0
175,Global Warming,0.445080439275367,kg CO2-Eq,2022,RECIPE,US,US Electricity Grid Mix,No_TC_Expiration_95by2050,ReEDS,Gwp100,Global Warming,0.0
176,Global Warming,0.4471802505738229,kg CO2-Eq,2022,RECIPE,US,US Electricity Grid Mix,Reduced_RE_Resource_95by2050,ReEDS,Gwp100,Global Warming,0.0
177,Global Warming,0.4430996769438469,kg CO2-Eq,2022,RECIPE,US,US Electricity Grid Mix,PVB,ReEDS,Gwp100,Global Warming,0.0
178,Global Warming,0.4450803639946861,kg CO2-Eq,2022,RECIPE,US,US Electricity Grid Mix,High_Trans,ReEDS,Gwp100,Global Warming,0.0
