lcia,unit,method,unit2
Acidification,moles of .,TRACI2.1,kg SO2-Eq
Ecotoxicity,"kg 2,4-D-.",TRACI2.1,"kg 1,4-DCB"
Eutrophication,kg N,TRACI2.1,kg N
Global Warming,kg CO2-Eq,TRACI2.1,kg CO2-Eq
Carcinogenics,kg benzen.,TRACI2.1,kg benzen.
Ozone Depletion,kg CFC-11.,TRACI2.1,kg CFC-11.
Photochemical Oxidation,kg NOx-Eq,TRACI2.1,kg NOx-Eq
Alop,square meter-year,RECIPE,square meter-year
Gwp100,kg CO2-Eq,RECIPE,kg CO2-Eq
Fdp,kg oil-Eq,RECIPE,kg oil-Eq
Fetpinf,"kg 1,4-DC.",RECIPE,"kg 1,4-DCB"
Fep,kg P-Eq,RECIPE,kg P-Eq
Htpinf,"kg 1,4-DC.",RECIPE,"kg 1,4-DCB"
Irp_He,kg U235-Eq,RECIPE,kg U235-Eq
Metpinf,"kg 1,4-DC.",RECIPE,"kg 1,4-DCB"
Mep,kg N-Eq,RECIPE,kg N-Eq
Mdp,kg Fe-Eq,RECIPE,kg Fe-Eq
Nltp,square meter,RECIPE,square meter
Odpinf,kg CFC-11.,RECIPE,kg CFC-11.
Pmfp,kg PM10-Eq,RECIPE,kg PM10-Eq
Pofp,kg NMVOC,RECIPE,kg NMVOC
Tap100,kg SO2-Eq,RECIPE,kg SO2-Eq
Tetpinf,"kg 1,4-DC.",RECIPE,"kg 1,4-DCB"
Ulop,square meter-year,RECIPE,square meter-year
Wdp,cubic meter,RECIPE,cubic meter
