lcia,value,unit,year,method,Location,Process,Scenario,model
Fep,1.9657815808319418e-06,kg P-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_Demand_Growth_100by2035,ReEDS
Htpinf,0.0209679990710806,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,High_Demand_Growth_100by2035,ReEDS
Irp_He,0.0335788928531426,kg U235-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_Demand_Growth_100by2035,ReEDS
Metpinf,0.0002994630713045,"kg 1,4-DB-Eq",2036,RECIPE,US,US Electricity Grid Mix,High_Demand_Growth_100by2035,ReEDS
Mep,1.1241767195944433e-05,kg N-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_Demand_Growth_100by2035,ReEDS
Mdp,0.0103474030130333,kg Fe-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_Demand_Growth_100by2035,ReEDS
Nltp,1.2248056034530887e-05,square meter,2036,RECIPE,US,US Electricity Grid Mix,High_Demand_Growth_100by2035,ReEDS
Odpinf,5.088976147024704e-09,kg CFC-11-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_Demand_Growth_100by2035,ReEDS
Pmfp,9.997030043131828e-05,kg PM10-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_Demand_Growth_100by2035,ReEDS
Pofp,0.0002165407202774,kg NMVOC-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_Demand_Growth_100by2035,ReEDS
Tap100,0.0002697336332648,kg SO2-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_Demand_Growth_100by2035,ReEDS
Tetpinf,3.881926019303079e-05,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,High_Demand_Growth_100by2035,ReEDS
Ulop,0.0103775315287756,square meter-year,2036,RECIPE,US,US Electricity Grid Mix,High_Demand_Growth_100by2035,ReEDS
Wdp,0.0018797474203047,m3 water-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_Demand_Growth_100by2035,ReEDS
Acidification,0.027176750196588,moles of H+-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,High_RE_Cost_NoNascent,ReEDS
Ecotoxicity,0.1259746772189761,"kg 2,4-D-Eq",2036,TRACI2.1,US,US Electricity Grid Mix,High_RE_Cost_NoNascent,ReEDS
Eutrophication,2.027338049044872e-05,kg N,2036,TRACI2.1,US,US Electricity Grid Mix,High_RE_Cost_NoNascent,ReEDS
Global Warming,0.2187457622378175,kg CO2-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,High_RE_Cost_NoNascent,ReEDS
Carcinogenics,0.0009718058072485,kg benzene-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,High_RE_Cost_NoNascent,ReEDS
Ozone Depletion,8.333566227943754e-09,kg CFC-11-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,High_RE_Cost_NoNascent,ReEDS
Photochemical Oxidation,0.0002666275601689,kg NOx-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,High_RE_Cost_NoNascent,ReEDS
Non-Carcinogenics,1.826737472961672,kg toluene-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,High_RE_Cost_NoNascent,ReEDS
"Respiratory Effects, Average",0.0001560495643342,kg PM2.5-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,High_RE_Cost_NoNascent,ReEDS
Alop,0.0034044474979927,square meter-year,2036,RECIPE,US,US Electricity Grid Mix,High_RE_Cost_NoNascent,ReEDS
Gwp100,0.2209127306520366,kg CO2-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_RE_Cost_NoNascent,ReEDS
Fdp,0.0830920556501601,kg oil-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_RE_Cost_NoNascent,ReEDS
Fetpinf,4.069694105971902e-05,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,High_RE_Cost_NoNascent,ReEDS
Fep,6.854206793602356e-06,kg P-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_RE_Cost_NoNascent,ReEDS
Htpinf,0.0176150060474488,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,High_RE_Cost_NoNascent,ReEDS
Irp_He,0.0472849434865914,kg U235-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_RE_Cost_NoNascent,ReEDS
Metpinf,0.0002060333749804,"kg 1,4-DB-Eq",2036,RECIPE,US,US Electricity Grid Mix,High_RE_Cost_NoNascent,ReEDS
Mep,1.594467181436532e-05,kg N-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_RE_Cost_NoNascent,ReEDS
Mdp,0.0084846885660677,kg Fe-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_RE_Cost_NoNascent,ReEDS
Nltp,1.621229884477217e-05,square meter,2036,RECIPE,US,US Electricity Grid Mix,High_RE_Cost_NoNascent,ReEDS
Odpinf,8.137455218122414e-09,kg CFC-11-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_RE_Cost_NoNascent,ReEDS
Pmfp,0.0002105715512015,kg PM10-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_RE_Cost_NoNascent,ReEDS
Pofp,0.0004705798847308,kg NMVOC-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_RE_Cost_NoNascent,ReEDS
Tap100,0.0004535601914827,kg SO2-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_RE_Cost_NoNascent,ReEDS
Tetpinf,2.2109438966909095e-05,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,High_RE_Cost_NoNascent,ReEDS
Ulop,0.0048499086148904,square meter-year,2036,RECIPE,US,US Electricity Grid Mix,High_RE_Cost_NoNascent,ReEDS
Wdp,0.00211740362565,m3 water-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_RE_Cost_NoNascent,ReEDS
Acidification,0.0193574105451564,moles of H+-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,DAC_95by2050,ReEDS
Ecotoxicity,0.0860934989237663,"kg 2,4-D-Eq",2036,TRACI2.1,US,US Electricity Grid Mix,DAC_95by2050,ReEDS
Eutrophication,1.7460976358274197e-05,kg N,2036,TRACI2.1,US,US Electricity Grid Mix,DAC_95by2050,ReEDS
Global Warming,0.1149985874899482,kg CO2-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,DAC_95by2050,ReEDS
Carcinogenics,0.0009665289948965,kg benzene-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,DAC_95by2050,ReEDS
Ozone Depletion,7.561562615096385e-09,kg CFC-11-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,DAC_95by2050,ReEDS
Photochemical Oxidation,0.0001740341142005,kg NOx-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,DAC_95by2050,ReEDS
Non-Carcinogenics,1.7749579324004416,kg toluene-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,DAC_95by2050,ReEDS
"Respiratory Effects, Average",9.497189102421952e-05,kg PM2.5-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,DAC_95by2050,ReEDS
Alop,0.003089943695205,square meter-year,2036,RECIPE,US,US Electricity Grid Mix,DAC_95by2050,ReEDS
Gwp100,0.1168609282282252,kg CO2-Eq,2036,RECIPE,US,US Electricity Grid Mix,DAC_95by2050,ReEDS
Fdp,0.0562842841608201,kg oil-Eq,2036,RECIPE,US,US Electricity Grid Mix,DAC_95by2050,ReEDS
Fetpinf,7.644808654026323e-05,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,DAC_95by2050,ReEDS
Fep,3.2664466783178617e-06,kg P-Eq,2036,RECIPE,US,US Electricity Grid Mix,DAC_95by2050,ReEDS
Htpinf,0.0188573182094316,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,DAC_95by2050,ReEDS
Irp_He,0.0412827174073855,kg U235-Eq,2036,RECIPE,US,US Electricity Grid Mix,DAC_95by2050,ReEDS
Metpinf,0.0002611011816232,"kg 1,4-DB-Eq",2036,RECIPE,US,US Electricity Grid Mix,DAC_95by2050,ReEDS
Mep,1.2964730839282293e-05,kg N-Eq,2036,RECIPE,US,US Electricity Grid Mix,DAC_95by2050,ReEDS
Mdp,0.0093502919830529,kg Fe-Eq,2036,RECIPE,US,US Electricity Grid Mix,DAC_95by2050,ReEDS
Nltp,1.5240623047815209e-05,square meter,2036,RECIPE,US,US Electricity Grid Mix,DAC_95by2050,ReEDS
Odpinf,7.444284468886831e-09,kg CFC-11-Eq,2036,RECIPE,US,US Electricity Grid Mix,DAC_95by2050,ReEDS
Pmfp,0.0001329357383039,kg PM10-Eq,2036,RECIPE,US,US Electricity Grid Mix,DAC_95by2050,ReEDS
Pofp,0.0003238567707626,kg NMVOC-Eq,2036,RECIPE,US,US Electricity Grid Mix,DAC_95by2050,ReEDS
Tap100,0.0003356740075624,kg SO2-Eq,2036,RECIPE,US,US Electricity Grid Mix,DAC_95by2050,ReEDS
Tetpinf,3.224245306610472e-05,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,DAC_95by2050,ReEDS
Ulop,0.0080890910017641,square meter-year,2036,RECIPE,US,US Electricity Grid Mix,DAC_95by2050,ReEDS
Wdp,0.002045595179935,m3 water-Eq,2036,RECIPE,US,US Electricity Grid Mix,DAC_95by2050,ReEDS
Acidification,0.0219054536235208,moles of H+-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,High_NG_Price_NoNascent,ReEDS
Ecotoxicity,0.1153315289239943,"kg 2,4-D-Eq",2036,TRACI2.1,US,US Electricity Grid Mix,High_NG_Price_NoNascent,ReEDS
Eutrophication,1.9065800538665097e-05,kg N,2036,TRACI2.1,US,US Electricity Grid Mix,High_NG_Price_NoNascent,ReEDS
Global Warming,0.1147574582015596,kg CO2-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,High_NG_Price_NoNascent,ReEDS
Carcinogenics,0.0010886102166013,kg benzene-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,High_NG_Price_NoNascent,ReEDS
Ozone Depletion,4.178500521674856e-09,kg CFC-11-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,High_NG_Price_NoNascent,ReEDS
Photochemical Oxidation,0.000196121154162,kg NOx-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,High_NG_Price_NoNascent,ReEDS
Non-Carcinogenics,1.894685424568764,kg toluene-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,High_NG_Price_NoNascent,ReEDS
"Respiratory Effects, Average",0.0001286320508434,kg PM2.5-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,High_NG_Price_NoNascent,ReEDS
Alop,0.003550334286596,square meter-year,2036,RECIPE,US,US Electricity Grid Mix,High_NG_Price_NoNascent,ReEDS
Gwp100,0.1163751507245665,kg CO2-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_NG_Price_NoNascent,ReEDS
Fdp,0.0342249786820216,kg oil-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_NG_Price_NoNascent,ReEDS
Fetpinf,3.89915971911526e-05,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,High_NG_Price_NoNascent,ReEDS
Fep,5.700097989764616e-06,kg P-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_NG_Price_NoNascent,ReEDS
Htpinf,0.0216712058273139,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,High_NG_Price_NoNascent,ReEDS
Irp_He,0.035646302188446,kg U235-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_NG_Price_NoNascent,ReEDS
Metpinf,0.0002830369970354,"kg 1,4-DB-Eq",2036,RECIPE,US,US Electricity Grid Mix,High_NG_Price_NoNascent,ReEDS
Mep,1.4430727005825406e-05,kg N-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_NG_Price_NoNascent,ReEDS
Mdp,0.0104899384232255,kg Fe-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_NG_Price_NoNascent,ReEDS
Nltp,1.388144343796016e-05,square meter,2036,RECIPE,US,US Electricity Grid Mix,High_NG_Price_NoNascent,ReEDS
Odpinf,4.104258864530352e-09,kg CFC-11-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_NG_Price_NoNascent,ReEDS
Pmfp,0.0001746301832601,kg PM10-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_NG_Price_NoNascent,ReEDS
Pofp,0.0002841919372764,kg NMVOC-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_NG_Price_NoNascent,ReEDS
Tap100,0.0003685365291936,kg SO2-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_NG_Price_NoNascent,ReEDS
Tetpinf,3.478342540330024e-05,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,High_NG_Price_NoNascent,ReEDS
Ulop,0.0093212910499469,square meter-year,2036,RECIPE,US,US Electricity Grid Mix,High_NG_Price_NoNascent,ReEDS
Wdp,0.0020979942078254,m3 water-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_NG_Price_NoNascent,ReEDS
Acidification,0.0151376582579748,moles of H+-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,No_TC_Expiration_100by2035,ReEDS
Ecotoxicity,0.0832062979388145,"kg 2,4-D-Eq",2036,TRACI2.1,US,US Electricity Grid Mix,No_TC_Expiration_100by2035,ReEDS
Eutrophication,1.5358786400406126e-05,kg N,2036,TRACI2.1,US,US Electricity Grid Mix,No_TC_Expiration_100by2035,ReEDS
Global Warming,0.054550143075914,kg CO2-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,No_TC_Expiration_100by2035,ReEDS
Carcinogenics,0.0010239955609608,kg benzene-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,No_TC_Expiration_100by2035,ReEDS
Ozone Depletion,4.909848471272199e-09,kg CFC-11-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,No_TC_Expiration_100by2035,ReEDS
Photochemical Oxidation,0.0001265421730001,kg NOx-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,No_TC_Expiration_100by2035,ReEDS
Non-Carcinogenics,1.9516652108475372,kg toluene-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,No_TC_Expiration_100by2035,ReEDS
"Respiratory Effects, Average",6.743170049855054e-05,kg PM2.5-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,No_TC_Expiration_100by2035,ReEDS
Alop,0.0030605619445346,square meter-year,2036,RECIPE,US,US Electricity Grid Mix,No_TC_Expiration_100by2035,ReEDS
Gwp100,0.0560526481033338,kg CO2-Eq,2036,RECIPE,US,US Electricity Grid Mix,No_TC_Expiration_100by2035,ReEDS
Fdp,0.028380682129308,kg oil-Eq,2036,RECIPE,US,US Electricity Grid Mix,No_TC_Expiration_100by2035,ReEDS
Fetpinf,6.22402137228146e-05,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,No_TC_Expiration_100by2035,ReEDS
Fep,2.0016779295150648e-06,kg P-Eq,2036,RECIPE,US,US Electricity Grid Mix,No_TC_Expiration_100by2035,ReEDS
Htpinf,0.0207322024477343,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,No_TC_Expiration_100by2035,ReEDS
Irp_He,0.0361696122395921,kg U235-Eq,2036,RECIPE,US,US Electricity Grid Mix,No_TC_Expiration_100by2035,ReEDS
Metpinf,0.0002920820525801,"kg 1,4-DB-Eq",2036,RECIPE,US,US Electricity Grid Mix,No_TC_Expiration_100by2035,ReEDS
Mep,1.134532972742626e-05,kg N-Eq,2036,RECIPE,US,US Electricity Grid Mix,No_TC_Expiration_100by2035,ReEDS
Mdp,0.0102996989883831,kg Fe-Eq,2036,RECIPE,US,US Electricity Grid Mix,No_TC_Expiration_100by2035,ReEDS
Nltp,1.221819365294938e-05,square meter,2036,RECIPE,US,US Electricity Grid Mix,No_TC_Expiration_100by2035,ReEDS
Odpinf,4.8714870408307575e-09,kg CFC-11-Eq,2036,RECIPE,US,US Electricity Grid Mix,No_TC_Expiration_100by2035,ReEDS
Pmfp,9.960166656099504e-05,kg PM10-Eq,2036,RECIPE,US,US Electricity Grid Mix,No_TC_Expiration_100by2035,ReEDS
Pofp,0.0002171399745071,kg NMVOC-Eq,2036,RECIPE,US,US Electricity Grid Mix,No_TC_Expiration_100by2035,ReEDS
Tap100,0.0002690533369474,kg SO2-Eq,2036,RECIPE,US,US Electricity Grid Mix,No_TC_Expiration_100by2035,ReEDS
Tetpinf,3.705372675553133e-05,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,No_TC_Expiration_100by2035,ReEDS
Ulop,0.009611509063424,square meter-year,2036,RECIPE,US,US Electricity Grid Mix,No_TC_Expiration_100by2035,ReEDS
Wdp,0.0019597735356596,m3 water-Eq,2036,RECIPE,US,US Electricity Grid Mix,No_TC_Expiration_100by2035,ReEDS
Acidification,0.0168915384937537,moles of H+-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,Low_RE_Cost_95by2050_NoNascent,ReEDS
Ecotoxicity,0.0802136846113162,"kg 2,4-D-Eq",2036,TRACI2.1,US,US Electricity Grid Mix,Low_RE_Cost_95by2050_NoNascent,ReEDS
Eutrophication,1.609312173656987e-05,kg N,2036,TRACI2.1,US,US Electricity Grid Mix,Low_RE_Cost_95by2050_NoNascent,ReEDS
Global Warming,0.0766949031896973,kg CO2-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,Low_RE_Cost_95by2050_NoNascent,ReEDS
Carcinogenics,0.0011088769082729,kg benzene-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,Low_RE_Cost_95by2050_NoNascent,ReEDS
Ozone Depletion,4.464978530350787e-09,kg CFC-11-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,Low_RE_Cost_95by2050_NoNascent,ReEDS
Photochemical Oxidation,0.0001394735543854,kg NOx-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,Low_RE_Cost_95by2050_NoNascent,ReEDS
Non-Carcinogenics,1.7899386577161929,kg toluene-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,Low_RE_Cost_95by2050_NoNascent,ReEDS
"Respiratory Effects, Average",8.539091728485743e-05,kg PM2.5-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,Low_RE_Cost_95by2050_NoNascent,ReEDS
Alop,0.0030471575290133,square meter-year,2036,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost_95by2050_NoNascent,ReEDS
Gwp100,0.07813313139461,kg CO2-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost_95by2050_NoNascent,ReEDS
Fdp,0.0275193828558533,kg oil-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost_95by2050_NoNascent,ReEDS
Fetpinf,3.503245347392157e-05,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost_95by2050_NoNascent,ReEDS
Fep,2.6679748755036464e-06,kg P-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost_95by2050_NoNascent,ReEDS
Htpinf,0.0217879871403874,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost_95by2050_NoNascent,ReEDS
Irp_He,0.0287015771641448,kg U235-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost_95by2050_NoNascent,ReEDS
Metpinf,0.0002982685308095,"kg 1,4-DB-Eq",2036,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost_95by2050_NoNascent,ReEDS
Mep,1.1461171513671447e-05,kg N-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost_95by2050_NoNascent,ReEDS
Mdp,0.0111403222629287,kg Fe-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost_95by2050_NoNascent,ReEDS
Nltp,1.213132007705564e-05,square meter,2036,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost_95by2050_NoNascent,ReEDS
Odpinf,4.406208277204993e-09,kg CFC-11-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost_95by2050_NoNascent,ReEDS
Pmfp,0.0001197058543047,kg PM10-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost_95by2050_NoNascent,ReEDS
Pofp,0.000230709393463,kg NMVOC-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost_95by2050_NoNascent,ReEDS
Tap100,0.0002939343056929,kg SO2-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost_95by2050_NoNascent,ReEDS
Tetpinf,3.673628825677816e-05,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost_95by2050_NoNascent,ReEDS
Ulop,0.0097141539462706,square meter-year,2036,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost_95by2050_NoNascent,ReEDS
Wdp,0.0018750686191391,m3 water-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost_95by2050_NoNascent,ReEDS
Acidification,0.0200155469521691,moles of H+-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,High_Demand_Growth_95by2050,ReEDS
Ecotoxicity,0.0892557113871303,"kg 2,4-D-Eq",2036,TRACI2.1,US,US Electricity Grid Mix,High_Demand_Growth_95by2050,ReEDS
Eutrophication,1.7934508442372492e-05,kg N,2036,TRACI2.1,US,US Electricity Grid Mix,High_Demand_Growth_95by2050,ReEDS
Global Warming,0.1176527489352722,kg CO2-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,High_Demand_Growth_95by2050,ReEDS
Carcinogenics,0.0009695377865319,kg benzene-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,High_Demand_Growth_95by2050,ReEDS
Ozone Depletion,7.352680670888171e-09,kg CFC-11-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,High_Demand_Growth_95by2050,ReEDS
Photochemical Oxidation,0.0001802300468004,kg NOx-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,High_Demand_Growth_95by2050,ReEDS
Non-Carcinogenics,1.7627967131675053,kg toluene-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,High_Demand_Growth_95by2050,ReEDS
