lcia,value,unit,year,method,Location,Process,Scenario,model
Acidification,0.0198340820773108,moles of H+-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,High_Demand_Growth,ReEDS
Ecotoxicity,0.0881201075581778,"kg 2,4-D-Eq",2036,TRACI2.1,US,US Electricity Grid Mix,High_Demand_Growth,ReEDS
Eutrophication,1.7798701492489227e-05,kg N,2036,TRACI2.1,US,US Electricity Grid Mix,High_Demand_Growth,ReEDS
Global Warming,0.1171821449451176,kg CO2-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,High_Demand_Growth,ReEDS
Carcinogenics,0.0009672171270648,kg benzene-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,High_Demand_Growth,ReEDS
Ozone Depletion,7.406039065150829e-09,kg CFC-11-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,High_Demand_Growth,ReEDS
Photochemical Oxidation,0.0001784300308344,kg NOx-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,High_Demand_Growth,ReEDS
Non-Carcinogenics,1.7580015088412104,kg toluene-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,High_Demand_Growth,ReEDS
"Respiratory Effects, Average",9.622602286236085e-05,kg PM2.5-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,High_Demand_Growth,ReEDS
Alop,0.0031034370616165,square meter-year,2036,RECIPE,US,US Electricity Grid Mix,High_Demand_Growth,ReEDS
Gwp100,0.1189766337404154,kg CO2-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_Demand_Growth,ReEDS
Fdp,0.0562508124745371,kg oil-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_Demand_Growth,ReEDS
Fetpinf,6.912022468089543e-05,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,High_Demand_Growth,ReEDS
Fep,3.540722098993281e-06,kg P-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_Demand_Growth,ReEDS
Htpinf,0.0190770613246425,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,High_Demand_Growth,ReEDS
Irp_He,0.0384023259046973,kg U235-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_Demand_Growth,ReEDS
Metpinf,0.0002668425051382,"kg 1,4-DB-Eq",2036,RECIPE,US,US Electricity Grid Mix,High_Demand_Growth,ReEDS
Mep,1.313621305506345e-05,kg N-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_Demand_Growth,ReEDS
Mdp,0.0094352034896069,kg Fe-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_Demand_Growth,ReEDS
Nltp,1.4834841155406029e-05,square meter,2036,RECIPE,US,US Electricity Grid Mix,High_Demand_Growth,ReEDS
Odpinf,7.291303362195191e-09,kg CFC-11-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_Demand_Growth,ReEDS
Pmfp,0.0001351077094357,kg PM10-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_Demand_Growth,ReEDS
Pofp,0.0003294891918277,kg NMVOC-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_Demand_Growth,ReEDS
Tap100,0.0003440125012518,kg SO2-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_Demand_Growth,ReEDS
Tetpinf,3.432155120672368e-05,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,High_Demand_Growth,ReEDS
Ulop,0.0089559564420323,square meter-year,2036,RECIPE,US,US Electricity Grid Mix,High_Demand_Growth,ReEDS
Wdp,0.0019881505147365,m3 water-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_Demand_Growth,ReEDS
Acidification,0.0151568034795094,moles of H+-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,High_Demand_Growth_100by2035,ReEDS
Ecotoxicity,0.0807895788466512,"kg 2,4-D-Eq",2036,TRACI2.1,US,US Electricity Grid Mix,High_Demand_Growth_100by2035,ReEDS
Eutrophication,1.544345448475482e-05,kg N,2036,TRACI2.1,US,US Electricity Grid Mix,High_Demand_Growth_100by2035,ReEDS
Global Warming,0.0536800589104911,kg CO2-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,High_Demand_Growth_100by2035,ReEDS
Carcinogenics,0.0010192287494891,kg benzene-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,High_Demand_Growth_100by2035,ReEDS
Ozone Depletion,5.129617067767742e-09,kg CFC-11-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,High_Demand_Growth_100by2035,ReEDS
Photochemical Oxidation,0.0001241896424729,kg NOx-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,High_Demand_Growth_100by2035,ReEDS
Non-Carcinogenics,1.912941189982185,kg toluene-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,High_Demand_Growth_100by2035,ReEDS
"Respiratory Effects, Average",6.805567738889649e-05,kg PM2.5-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,High_Demand_Growth_100by2035,ReEDS
Alop,0.00299084798439,square meter-year,2036,RECIPE,US,US Electricity Grid Mix,High_Demand_Growth_100by2035,ReEDS
Gwp100,0.055103546063616,kg CO2-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_Demand_Growth_100by2035,ReEDS
Fdp,0.0291533676421488,kg oil-Eq,2036,RECIPE,US,US Electricity Grid Mix,High_Demand_Growth_100by2035,ReEDS
Fetpinf,6.843662942375199e-05,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,High_Demand_Growth_100by2035,ReEDS
