abbv,full
Gwp100,Global Warming
Fetpinf,Freshwater Ecotoxicity
Htpinf,Human Toxicity
Mdp,Metal depletion
Nltp,Natural land transformation
Pmfp,Particulate Matter Exposure
Tap100,Terrestrial Acidification
Wdp,Water depletion
Mep,Marine Eutrophication
Acidification,Terrestrial Acidification
Ecotoxicity,Freshwater Ecotoxicity
Eutrophication,Marine Eutrophication
Global Warming,Global Warming
Carcinogenics,Carcinogenics
Ozone Depletion,Ozone Depletion
Non-Carcinogenics,Non-Carcinogenics
"Respiratory Effects, Average","Respiratory Effects, Average"
Photochemical Oxidation,Photochemical Oxidation
Odpinf,Ozone Depletion
Pofp,Photochemical Ozone Formation
Tetpinf,Toxicity - Terrestrial ecosystems
Irp_He,Ionzing Radiation - Human health
