lcia,value,unit,year,method
Acidification,0.0008503199424172853,moles of H+-Eq,premise_updated_ecoinvent_2020,TRACI2.1
Ecotoxicity,0.0030337633735265665,"kg 2,4-D-Eq",premise_updated_ecoinvent_2020,TRACI2.1
Eutrophication,9.405761311627843e-07,kg N,premise_updated_ecoinvent_2020,TRACI2.1
Global Warming,0.06534981683454309,kg CO2-Eq,premise_updated_ecoinvent_2020,TRACI2.1
Carcinogenics,4.558049163380617e-05,kg benzene-Eq,premise_updated_ecoinvent_2020,TRACI2.1
Ozone Depletion,0.0,kg CFC-11-Eq,premise_updated_ecoinvent_2020,TRACI2.1
Photochemical Oxidation,4.3755589174088996e-05,kg NOx-Eq,premise_updated_ecoinvent_2020,TRACI2.1
Non-Carcinogenics,0.9168332108852648,kg toluene-Eq,premise_updated_ecoinvent_2020,TRACI2.1
"Respiratory Effects, Average",4.571740024103804e-05,kg PM2.5-Eq,premise_updated_ecoinvent_2020,TRACI2.1
Alop,0.0,square meter-year,premise_updated_ecoinvent_2020,RECIPE
Gwp100,0.06270885467529297,kg CO2-Eq,premise_updated_ecoinvent_2020,RECIPE
Fdp,0.0,kg oil-Eq,premise_updated_ecoinvent_2020,RECIPE
Fetpinf,6.369458988097625e-07,"kg 1,4-DCB-Eq",premise_updated_ecoinvent_2020,RECIPE
Fep,0.0,kg P-Eq,premise_updated_ecoinvent_2020,RECIPE
Htpinf,0.00866084622485884,"kg 1,4-DCB-Eq",premise_updated_ecoinvent_2020,RECIPE
Irp_He,0.0,kg U235-Eq,premise_updated_ecoinvent_2020,RECIPE
Metpinf,4.1927458381188414e-05,"kg 1,4-DB-Eq",premise_updated_ecoinvent_2020,RECIPE
Mep,8.282337082973093e-07,kg N-Eq,premise_updated_ecoinvent_2020,RECIPE
Mdp,0.0,kg Fe-Eq,premise_updated_ecoinvent_2020,RECIPE
Nltp,0.0,square meter,premise_updated_ecoinvent_2020,RECIPE
Odpinf,0.0,kg CFC-11-Eq,premise_updated_ecoinvent_2020,RECIPE
Pmfp,4.9415803452725006e-05,kg PM10-Eq,premise_updated_ecoinvent_2020,RECIPE
Pofp,9.794241256723272e-05,kg NMVOC-Eq,premise_updated_ecoinvent_2020,RECIPE
Tap100,1.1892586385939372e-05,kg SO2-Eq,premise_updated_ecoinvent_2020,RECIPE
Tetpinf,4.595215552920553e-06,"kg 1,4-DCB-Eq",premise_updated_ecoinvent_2020,RECIPE
Ulop,0.0,square meter-year,premise_updated_ecoinvent_2020,RECIPE
Wdp,0.006118408404290676,m3 water-Eq,premise_updated_ecoinvent_2020,RECIPE
