Activity,Flow,Region,Amount,method
"diesel, burned in fishing vessel",Sulfur dioxide,World,0.00015312005028445062,acidification
"diesel, burned in fishing vessel",Sulfur dioxide,World,0.000145678505813953,acidification
"diesel, burned in fishing vessel",Sulfur dioxide,WEU,0.00012453417995587207,acidification
"diesel, burned in fishing vessel",Sulfur dioxide,WEU,0.00011848189198628878,acidification
"diesel, burned in fishing vessel",Sulfur dioxide,RSAM,0.0001151499928294842,acidification
"diesel, burned in fishing vessel",Sulfur dioxide,RSAM,0.00010955377084009588,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,World,0.00010943330551916312,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,World,0.00010411491117393151,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,World,9.471667789967263e-05,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,WEU,9.228775090800955e-05,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,WEU,9.011350300925928e-05,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,WEU,8.826829355406203e-05,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,WAF,8.780262044215376e-05,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,WAF,8.397850635377536e-05,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,WAF,8.368881269652031e-05,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,USA,7.962158557500766e-05,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,USA,6.861859769933493e-05,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,USA,6.528377417142862e-05,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,UKR,5.113130829220798e-05,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,UKR,4.864635675395846e-05,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,UKR,4.450378727806829e-05,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,TUR,4.3680203440534576e-05,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,TUR,4.341573008071265e-05,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,TUR,4.15573712198079e-05,acidification
