Activity,Flow,Region,Amount,method
"diesel, burned in fishing vessel",Sulfur dioxide,World,0.0292531223277185,acidification
"diesel, burned in fishing vessel",Sulfur dioxide,World,0.026608000328371288,acidification
"diesel, burned in fishing vessel",Sulfur dioxide,WEU,0.02199738878631945,acidification
"diesel, burned in fishing vessel",Sulfur dioxide,WEU,0.021420998127204317,acidification
"diesel, burned in fishing vessel",Sulfur dioxide,RSAM,0.02037353480000338,acidification
"diesel, burned in fishing vessel",Sulfur dioxide,RSAM,0.01534298624399167,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,World,0.009066828353806356,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,World,0.008996592508596553,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,World,0.006489069033585392,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,WEU,0.005853964128217723,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,WEU,0.004806169936632964,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,WEU,0.0044468387738375035,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,WAF,0.004298573665579083,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,WAF,0.003994506566161297,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,WAF,0.0039479886750034025,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,USA,0.0039023325881005193,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,USA,0.0038242224498394287,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,USA,0.0035913018719252346,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,UKR,0.0032563315598686756,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,UKR,0.003143559221661568,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,UKR,0.0029018241525519094,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,TUR,0.0027689284375872966,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,TUR,0.002743738838734768,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,TUR,0.002336113149024815,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,STAN,0.0023195447155766064,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,STAN,0.0019274460313936522,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,STAN,0.0019222743297798756,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,SEAS,0.0018902379599249701,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,SEAS,0.001403601903369971,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,SEAS,0.0012446910981260694,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,SAF,0.001243985044275654,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,SAF,0.0011483244285706285,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,SAF,0.0011324728308077401,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,RUS,0.001087323647492316,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,RUS,0.00107064973006892,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,RUS,0.001034478047629578,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,RSAS,0.0009812449657444372,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,RSAS,0.0009689278401973332,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,RSAS,0.0009564481647141282,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,RSAM,0.0009073853225348816,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,RSAM,0.0008534096529209627,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,RSAM,0.0008515204540460572,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,RSAF,0.0007683708988559624,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,RSAF,0.0007635223092820469,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,RSAF,0.0007568601906940778,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,RCAM,0.000686361787357406,acidification
"diesel, burned in agricultural machinery",Sulfur dioxide,RCAM,0.0006521962267500458,acidification
